Name,Phone,Address,Facebook
Mongers Market,203-583-5899,1155 Railroad Avenue Bridgeport CT 06605,http://facebook.com/MongersMarket/
Shops at Marlborough Barn,860-295-1311,45 N Main St Marlborough CT 06447,http://www.facebook.com/shopsatmarlboroughbarn
Mike and Dave's Antique Shop,203-843-5694,588 Boston Post Rd Guilford CT 06437,http://www.facebook.com/mikeanddavesantiqueconsignment/
Reclaim at Ro and Bette's Attic,203-628-5256,32 Bank St Seymour CT 06483,http://facebook.com/roandbettesattic/
The Daniel Rust House,860-742-0032,2011 Main St Coventry CT 06238,http://www.facebook.com/TheDanielRustHouse/
Antiques on the Farmington,860-693-0615,10 Depot St Collinsville CT 06019,http://www.facebook.com/Antiquesonfarmington
Wright's Barn,860-307-9389,99 Wright Road Torrington CT 06790,http://www.facebook.com/WrightsBarnCafe/
Trailside Treasure,860-214-9459,CHECK WEBSITE FOR NEW LOCATION Columbia CT 06237,http://www.facebook.com/TrailsideTreasure/
Fairfield County Antique & Design Center,203-826-8575,39 Knight St Norwalk CT 06851,http://facebook.com/profile.php?id=100063695677135
Nathan Hale Antique Center,860-498-7400,1141 Main St Coventry CT 06238,http://www.facebook.com/NathanHaleAntiqueCenter/
Stonington Consign to Design,203-921-6377,132 Water St Stonington CT 06378,http://facebook.com/stoningtonconsigntodesign
By The Pond Artist Collective & Consignment Shop,860-498-0272,187 Route 66 E Columbia CT 06237,http://www.facebook.com/By-The-Pond-414787402618567
Southwood Antiques & Marketplace,860-749-3292,89 Raffia Rd Enfield CT 06082,http://facebook.com/southwoodantiques
Key to the Past Antique Center and Design Center,203-859-5948,37 Frontage Rd East Haven CT 06512,http://facebook.com/keytothepastantique/
Circa on Main,not available,225 Main St Wethersfield CT 06109,http://facebook.com/circaonmain
Clinton Antique Center,860-669-3839,78 E Main St Clinton CT 06413,http://www.facebook.com/CLINTONANTIQUECENTER
Stratford Antique Center,203-378-7754,400 Honeyspot Rd Stratford CT 06615,http://www.facebook.com/Stratford-Antique-Center-1122007854512091/
Coventry Arts & Antiques,860-498-0352,1140 Main St Coventry CT 06238,http://facebook.com/Coventry-Arts-and-Antiques-251203054996332/
Essex-Saybrook Antiques Village,860-388-0689,954 Middlesex Tpke Old Saybrook CT 06475,unavailable
Roosevelt Tower Antiques & Salvage,203-516-5728,253 Roosevelt Dr DERBY CT 06418,http://www.facebook.com/roosevelttower.antiquesalvage/
Antique and Vintage Treasures,860-830-4358,1141 Main St  (Lower Level) Coventry CT 06238,http://www.facebook.com/antiqueandvintagetreasures/
The Vintage Bee Collective,860-809-4454,49 Maple Street Somers CT 06072,http://facebook.com/thevintagebeecollective
Preserved Antiques,860-759-2008,1155 Main Street Coventry CT 06238,http://www.facebook.com/Preserved.Antiques/
Key to the Past Antique & Design Center, Clinton,860-664-5756,301 East Main Street Clinton CT 06413,http://facebook.com/keytothepastclinton/
