Name,Phone,Address,Facebook
Knot on Main Street,727-738-8090,2424 Bayshore Blvd Dunedin FL 34698,http://www.facebook.com/pages/Knot-On-Main-Street/117015868322682
Main Street Antiques on Harrison,850-640-3390,535 Harrison Avenue Panama City FL 32401,http://www.facebook.com/Main-Street-Antiques-on-Harrison-193959007605802/
Ocala Antique Mall And Estates,352-624-2511,4425 NW Blitchton Rd Ocala FL 34482,http://www.facebook.com/pages/Ocala-Antique-Mall-Estates/1540666936163624
Mossy Oaks Antique Mall,352-307-0090,6260 SE 118th Pl Belleview FL 34420,http://www.facebook.com/mossyoaksantiquemall/
Our Old Stuff Antiques,386-238-7207,1005 Ridgewood Ave Daytona Beach FL 32117,http://www.facebook.com/ouroldstuffantiques
Wildwood Antique Mall of Vero Beach,772-562-8777,720 South US Highway 1 Vero Beach FL 32962,http://facebook.com/wamverobeach/
The Other Side Vintage,850-224-6666,607 Railroad Square Tallahassee FL 32310,http://facebook.com/theothersidevintage
Teal Trunk,850-520-4505,11078 US Hwy 90 West Defuniak Springs FL 32433,http://facebook.com/thetealtrunk
Delectable Collectables,352-466-3327,112 NE Cholokka Blvd Micanopy FL 32667,http://www.facebook.com/pages/Delectable-Collectables/206278712729464
Lakeland Antique Mall,863-603-3917,3530 Us Highway 98 N Lakeland FL 33809,http://facebook.com/LakelandAntiqueMall
The Boulevard Shoppe,727-327-9700,5321 Gulfport Blvd S # 5325 Gulfport FL 33707,http://www.facebook.com/pages/Boulevard-Shoppe-Garden/1520388224860883
Diggers Antique Mall,352-629-5250,1811 N Pine Ave Ocala FL 34475,http://www.facebook.com/diggersantiquemall
Old 41 Restaurant ,239-948-4190,25091 Bernwood Dr Ste 1 Bonita Spgs FL 34135,http://www.facebook.com/old41restaurant/
Twin Rivers Local Vintage,321-499-3050,791 S Babcock St Melbourne FL 32901,http://facebook.com/twinriverslocalvintage
The Fine Lion Antiques Inc,305-733-5333,9564 Griffin Road Cooper City FL 33328,http://www.facebook.com/antiques.net/
Biggar and Biggar Antique Mall,863-491-5862,133 W Oak St Arcadia FL 34266,http://facebook.com/BiggarBiggarAntiqueMall
Got 2 Have It Antiques and Collectibles - Vero Beach,305-298-2176,1908 14th Ave Vero Beach  FL 32960,http://facebook.com/profile.php?id=100067163912205
Antique Emporium Market Place ,not available,1350 W 15th St Unit 20 Panama City FL 32401,http://www.facebook.com/Elegant-Endeavors-Antique-Emporium-204329656285407/
House of Newstalgia,850-835-0309,15950 Madison St Freeport FL 32439,http://www.facebook.com/1houseofnewstalgia
Two 'Ole Hens,352-668-4675,32745 County Road 52 San Antonio FL 33576,unavailable
Madison Antiques Market & Interiors,850-973-9000,197 SW Range Ave Madison FL 32340,http://www.facebook.com/madisonantiquesmarket
Emiline's Antique Mall,941-729-5282,1415 10th St W Palmetto FL 34221,http://www.facebook.com/emilinesantiques/
Treasure Alley,not available,108 W Oak St Arcadia FL 34266,http://www.facebook.com/treasurealleyantiques/
Happy Hour Antiques & Auctions,321-987-0406,8085 N Atlantic Ave Cape Canaveral FL 32920,http://www.facebook.com/321rocketgymandrec
The White Elephant Resale Shop,352-732-5580,120 S Magnolia Ave Ocala FL 34471,http://www.facebook.com/WhiteElephantStore
Two 'Ole Hens Too,352-437-5732,14136 8th ST Dade CIty FL 33525,http://facebook.com/TwoOleHensToo
Ole Cracker House Antique Mall,352-732-8484,1734 NW Pine Ave (Highway 441) Ocala FL 34475,http://www.facebook.com/olecrackerhouseantiquemall
Paris Market Antique Mall,239-997-2020,1357 N. Tamiami Tr.  33903 North Fort Myers FL 33903,http://www.facebook.com/Paris-Market-Antique-Mall-240500396298432/
The Vendor Barn,850-520-4818,2326 State Hwy 83 N DeFuniak Springs FL 32433,http://facebook.com/profile.php?id=100092441541413
World Travelers Antiques & Fine Art, LLC,202-215-2324,20651 US HWY 441  Renningers Mount Dora FL 32757,http://facebook.com/worldtravelersantiques
Key West Island Books,305-294-2904,513 1/2 Fleming St Key West FL 33040,http://Facebook.com/KWIslandbooks
Junkyard Dog Antiques and Internet Sales,352-610-4328,3282 Commercial Way Spring Hill FL 34606,http://www.facebook.com/junkyarddogstore/
Modern Antique Mall (CLOSED),850-865-4564,3 Racetrack Rd NW Ft Walton Beach FL 32547,http://facebook.com/Modern-Antique-Mall-109105708129958
Wisteria Antiques,813-835-8630,2718 S MacDill Ave Tampa FL 33629,unavailable
