Name,Phone,Address,Facebook
Blue and Gray Museum,229-426-5033,116 N Johnston St Fitzgerald GA 31750,http://www.facebook.com/BlueandGrayMuseum/
Out of the Cedar Chest Antiques & Interiors,678-696-5273,300 Northside Dr Gainesville GA 30501,http://www.facebook.com/OutoftheCedarChest
Treasure Hunt,678-398-9195,3217 New Macland Road Powder Springs GA 30127,http://www.facebook.com/TreasureHuntAntiques
Trends & Traditions Antique Mall,706-731-0888,2825 Washington Rd Ste D Augusta GA 30909,http://trendsantiques
Mountain Laurel Antique Mall & Furniture Consignment Warehouse,706-865-0575,233 Friendship Church Rd Cleveland GA 30528,http://facebook.com/MLADLR
G & M Antiques and Thrift,229-594-5523,2100 N Slappey Blvd Albany GA 31701,http://www.facebook.com/profile.php?id=100064044430252
The Checker Berry Shoppe,770-258-7524,129 W College St # 131 Bowdon GA 30108,http://Facebook.com/The-Checker-Berry-Shoppe-195080057187743
Grandma's Closet,229-424-9864,201 E Central Ave Fitzgerald GA 31750,http://www.facebook.com/Grandmas-Closet-141656145874651/
Gateway Antique Mall,706-867-8816,75 E Main St Dahlonega GA 30533,http://facebook.com/gatewayantiquesdahlonega/
Cotton Mill Exchange,770-992-9294,225 Reformation Pkwy Ste 100 Canton GA 30114,http://www.facebook.com/CottonMillExchange/
Jasper GA Antiques,404-456-6502,14 Mark Whitfield Dr Jasper GA 30143,http://facebook.com/Jasper Ga. Antiques  Things
Carey Antiques,229-386-8914,512 Tift Ave S Tifton GA 31794,http://www.facebook.com/careyantiques
Treasures Lost & Found,770-683-4920,2981 Sharpsburg McCollum Road Newnan GA 30265,http://www.facebook.com/TreasuresLostandFoundLLC
Junk In The Trunk,706-548-3036,590 Olympic Dr Athens GA 30601,http://www.facebook.com/JunkintheTrunkAthens
Hogan House at Rose Hill Bed and Breakfast,706-668-0367,804 E Main St Hogansville GA 30230,http://www.facebook.com/hoganhousegeorgia/
Woodstock Antiques Mall,678-445-7861,5643 Bells Ferry Rd Acworth GA 30102,http://facebook.com/woodstockantiques/
Angry Mama's Antiques & Interiors,470-907-1617,131B Merchants Sq Cumming GA 30040,http://www.facebook.com/profile.php?id=100085305307448
LeMont Vintage Home,770-820-1770,2 Railroad Avenue Mansfield GA 30055,http://www.facebook.com/LeMont-Vintage-Home-100367428407851
