Name,Phone,Address,Facebook
Finders Keepers,812-936-0550,8355 W State Road 56 West Baden Springs IN 47469,http://www.facebook.com/profile.php?id=183638188345983
Rod's Rustics,260-557-8451,104 S Jefferson St Ossian IN 46777,http://facebook.com/RodsRustics
Markle Exit 286 Antique Mall,260-758-2038,250 E South St Markle IN 46770,http://www.facebook.com/pages/Markle-Exit-86-Antique-Mall/96737953581/
RomWeber Marketplace,513-519-9936,7 S Eastern Avenue Batesville IN 47006,http://www.facebook.com/RomweberMarketplace
Antiques on Main Crown Point,219-663-1528,142 N Main St Crown Point IN 46307,http://facebook.com/aomcrownpoint
Goshen Antique Mall,574-534-6141,107 S Main St Goshen IN 46526,http://www.facebook.com/pages/Goshen-Antique-Mall/197659853607693/
One of a Kind and More,260-399-5672,1542 Sherman Blvd Fort Wayne IN 46808,http://Facebook.com/oneofakindandmore
Red Plow Antiques & Collectibles,765-748-0845,4331 S 1000 W Redkey IN 47373,http://facebook.com/profile.php?id=100076011190822
Sweet T's Creations,765-215-1308,2 W High Redkey IN 47373,http://facebook.com/profile.php?id=100067407262343
Klassy Klutter/ Nana's Workshop & Creations,765-532-8223,2137 S 4th St  Valley Plaza LAFAYETTE IN 47905,http://facebook.com/profile.php?id=100084165081028
Gilley's Antiques & Decorator Mall,317-839-8779,5789 E Us Highway 40 Plainfield IN 46168,http://facebook.com/GilleysAntiqueMall
General Store,260-251-7074,115 South Union Street Pennville IN 47369,http://facebook.com/thegeneralstoreprimitives
Dutch Lady Antiques,574-354-0471,401 E Market St Nappanee IN 46550,http://facebook.com/DutchLadyAntiques
Martin's Market,812-849-3200,870 Parks Addition Rd Mitchell IN 47446,http://facebook.com/martinsmarketmitchell
Antique Cellar,317-698-5866,108 E Madison St Kirklin IN 46050,http://facebook.com/Antique-Cellar-296654497623545
Yvonne Maries Antique Mall,260-724-2001,152 S 2nd St Decatur IN 46733,http://facebook.com/Yvonne-Maries-Antique-Mall-109622412392934
Shady Lane Antique Mall,812-299-1625,9247 US Hwy 41 S Terre Haute IN 47802,http://www.facebook.com/pages/Shady-Lane-Antique-Mall/246657595498054
