Name,Phone,Address,Facebook
Decades Garage,785-329-5852,837 N Kansas Ave Topeka KS 66608,http://www.facebook.com/decadesgarage
Americana Antique Mall,913-682-2477,719 Delaware St Leavenworth KS 66048,http://facebook.com/Americana-Preowned-Furniture-Home-Decor-Antique-Mall-271166239976026
Forest Avenue Antiques,620-793-7660,2025 Forest Avenue Great Bend KS 67530,http://www.facebook.com/ForestAvenueAntiques/
Rock House Antiques 1880,785-456-5230,321 Main Street Westmoreland KS 66549,http://www.facebook.com/Rock-House-Antiques-1880-1675164142713534/
Leavenworth Antique Mall,913-758-0193,505 Delaware St Leavenworth KS 66048,http://Facebook.com/Leavenworth-Antique-Mall-160157607366880
Antique Emporium of Alma,785-765-3332,322 Missouri Ave Alma KS 66401,http://www.facebook.com/Antique-Emporium-of-Alma-157454241863/
Curious Chameleon,785-706-1434,8330 E Hwy 24 Manhattan KS 66502,http://www.facebook.com/alwayschangingstuff/
Layman's Antique Mall & Flea Market ,316-282-1212,703 N Main St Newton KS 67114,http://www.facebook.com/LaymansAntiqueMrket/
Boot Hill Antiques,620-255-4263,509 N 2nd Ave Dodge City KS 67801,http://www.facebook.com/bhantiques/
Teeks Antiques and Collectibles,620-217-0303,204 W 5th St  A Newton KS 67114,unavailable
Southwind Antique Mall, LLC,785-460-6483,2260 Southwind Ave Colby KS 67701,http://www.facebook.com/colby.antiquemall
Generations Antiques & Artisans,316-260-9589,767 N. West St. Wichita KS 67203,http://facebook.com/generationsofwichita
Junk In The Trunk Antique Mall,785-833-2444,2259 S. 9th Salina KS 67401,http://facebook.com/JunkInTheTrunkLLC
The Emporium,620-402-5019,718 Main St Winfield KS 67156,http://www.facebook.com/TheEmporium.Winfield
Sale Barn Marketplace,785-540-4248,1733 Highway 183 Phillipsburg KS 67661,http://www.facebook.com/salebarnmarketplace/
Northglen Antiques,785-623-0908,2010 Vine St Hays KS 67601,http://www.facebook.com/ThreeScotties/
Tallgrass Antiques,620-794-1750,314 Broadway Cottonwood Falls KS 66845,http://www.facebook.com/tallgrassantiqueskansas/
The Rusty Nail,620-313-0363,4231 US Hwy 75 Neodesha KS 66757,http://www.facebook.com/TheRustyNailKS/
Shabby to Chic,620-251-4968,1613 W 8th St Coffeyville KS 67337,http://www.facebook.com/shopcoffeyvilleks
Landrush Antique Mall LLC,620-307-6009,211 S Summit St Arkansas City KS 67005,http://www.facebook.com/Landrush-Antique-Mall-LLC-110447964921080/
Junk in the Trunk Emporium Antiques,316-613-8788,4535 E 61st Street N Kechi KS 67067,http://www.facebook.com/junkinthetrunkemporium/
Brickhouse Antiques and Unique Gifts,785-266-6000,3711 SW Burlingame Rd Topeka KS 66609,http://Facebook.com/Brickhouse-Antiques-and-Unique-Gifts-156448307737237
Mill Creek Antiques,785-636-5520,109 Newbury Ave Paxico KS 66526,http://Facebook.com/woodstoveking
D & G Sundries,620-218-8301,708 W Main Street Oxford KS 67119,http://www.facebook.com/dgsundries/
Virginia Jarvis Antiques,620-221-1732,701 Main Street Winfield KS 67156,http://www.facebook.com/Virginia-Jarvis-Antiques-425837111135572/
Two Vintage Sisters,316-452-5775,1104 S Denver St El Dorado KS 67042,http://www.facebook.com/Two-Vintage-Sisters-1510633392526563/
Treasure Hunt Flea Market,620-223-3522,6 S Main St Ft Scott KS 66701,http://www.facebook.com/TreasureHuntFleaMarket/
