Name,Phone,Address,Facebook
The Side Track Shops and Antique Mall,270-369-8766,212 E Main St Glendale KY 42740,http://www.facebook.com/sidetrackshops/
The Felix Antique Shoppe,731-676-1533,210 Main St Hazel KY 42049,http://www.facebook.com/thefelixantiqueshoppe/
Sparrow's Antiques - Shepherdsville,502-921-0058,I-65 Exit 116 220 Sparrow Dr Shepherdsville KY 40165,unavailable
South Louisville Antique & Toy Mall,502-955-5303,4150-8 East Blue Lick Rd Louisville KY 40229,http://www.facebook.com/South-Louisville-Antique-Toy-Mall-140748695989564/
Main Street Antiques & Collectables LLC,270-451-5287,131 N Main St Smiths Grove KY 42171,http://www.facebook.com/mainstreetantiquesandcollectables/
Sturgis Antique Mall,270-333-9315,515 N Main St Sturgis KY 42459,http://www.facebook.com/sturgisantiquemall
The Purple Pig Antiques and Artisans,270-206-9101,60 Main St Cadiz KY 42211,http://www.facebook.com/CadizPurplePig/
The Homestead Antiques and Old Time Market,502-465-0003,8154 Main St Campbellsburg KY 40011,http://www.facebook.com/pages/The-Homestead/678985898876366
Consignment World & Antiques,270-522-9010,344B Main St Cadiz KY 42211,http://facebook.com/pages/Consignment-World-Antiques/994618340557683
Loch Lea Antiques,859-987-7070,624 Main St Paris KY 40361,http://www.facebook.com/LochLeaAntiques
Four Seasons Antiques & Collectibles,270-773-3687,115 Broadway St Cave City KY 42127,unavailable
Green Top Antiques & Collectibles Mall,270-369-7943,433 E Main St Glendale KY 42740,http://www.facebook.com/GreenTop-Antiques-Collectibles-Mall-451829345270161/
Louisville Antique Market,502-217-0085,845 E Jefferson St Louisville KY 40206,http://www.facebook.com/antiquemarketlouisville/
Coach Light Antiques, Art & Auctions,859-305-6006,100 Courchelle Dr Nicholasville KY 40356,http://www.facebook.com/pages/category/Antique-Store/Coach-Light-Antiques-Nicholasville-111716780417401/
Cherokee Antiques,270-522-5915,36 Main St Cadiz KY 42211,http://www.facebook.com/CherokeeAntiquesCadizKy/
Paul's Antiques & Collectibles,270-773-5129,113 Broadway St Cave City KY 42127,http://www.facebook.com/Pauls-Antiques-Collectibles-273014936046009/
Nuttin' Fancy Antique Shop,270-773-5417,306 Duke St Cave City KY 42127,unavailable
Vette City Antique Mall,270-393-9500,778 Interstate Dr Bowling Green KY 42101,http://facebook.com/Vettecityantiques
Owensboro Antiques & More,270-684-3003,2119 Frederica St Owensboro KY 42301,http://facebook.com/peopleOwensboro-Antique-Mall100057184040935
CADIZ Antique Mall & The Pigs Tail Ice Cream Shop,270-522-7880,34 Main St Cadiz KY 42211,http://www.facebook.com/cadizantiquemall/
A Walk Through Time,270-361-1233,103 Water St Horse Cave KY 42749,http://www.facebook.com/Awalkthroughtime/
Preservation Station Market and Restaurant,270-616-7007,9661 Highway 56 Owensboro KY 42301,http://www.facebook.com/preservationstationmarketandeventcenter
Alley Stuff Antiques & Eccentricities ,606-215-6363,109 S Main Street Corbin KY 40701,http://Facebook.com/alley.stuffantiques
Lost and Forgotten Treasures,270-773-7400,601 S Dixie Hwy Cave City KY 42127,http://www.facebook.com/Lost-and-Forgotten-Treasures-1461842340702064
Paducah Antique Mall,270-442-0035,407 Broadway St Paducah KY 42001,http://www.facebook.com/paducahantiquemall
Timeless Design, Inc.,859-377-5021,627 Main St Paris KY 40361,http://www.facebook.com/TimelessDesign718/
Junkin Gypsy,270-401-9910,123 Water St Horse Cave KY 42749,http://www.facebook.com/junkingypsyboutique/
Mellwood Antiques,502-895-1306,1860 Mellwood Ave Louisville KY 40206,http://facebook.com/mellwoodantiques
Architectural Salvage,502-589-0670,618 E Broadway Louisville KY 40202,http://www.facebook.com/pages/Architectural-Salvage/1452966318272751
Cave Run Antiques,606-356-6070,1370 Flemingsburg Rd Morehead KY 40351,http://www.facebook.com/Cave-Run-Antiques-353429611751748/
GeeGa's Home Decor,270-361-8291,110 E Main St Horse Cave KY 42749,http://www.facebook.com/geegashomedecor/
The Red Scooter,502-477-6608,32 E Main St Taylorsville KY 40071,http://m.facebook.com/theredscooterky/
Meadowthorpe Antique Mall,859-255-2607,1463 Leestown Rd Lexington KY 40511,http://www.facebook.com/pages/Meadowthorpe-Antique-Mall/1523356577885521
Art & Antiques Gallery,270-651-9789,207 W Main St Glasgow KY 42141,http://www.facebook.com/artandantiquesgallery
Caveland Antique Mall,270-786-3200,114 E Main St Horse Cave KY 42749,unavailable
Perkins Family Antiques,270-786-4574,6947 S Jackson Hwy Horse Cave KY 42749,http://www.facebook.com/PerkinsFamilyAntiques/
Dreamlight Gallery,502-314-1117,1201 S 3rd St Louisville KY 40203,http://www.facebook.com/jcdreamlight/
Todd's Antique Mall,859-986-9087,Hwy 21 W (Exit 76 Off I-75 1 mile) Berea KY 40403,http://www.facebook.com/pages/Todds-Antique-Mall/111848788870016
Reclaimed on Main,502-633-0001,514 Main Street Shelbyville KY 40065,http://facebook.com/reclaimedonmain/
Bright's Antique World,270-598-9901,281 Steele Rd I-65 Exit 2 Franklin KY 42134,http://www.facebook.com/call2705989901/
The Roosters Crow, LLC,270-773-8929,1002 S Dixie Hwy Cave City KY 42127,http://www.facebook.com/theroosterscrow.cc
Heirlooms & Gretchen's,502-863-2538,136 W Main St Georgetown KY 40324,http://www.facebook.com/heirloomsandgretchens
Derby City Market,502-724-1817,978 Barret Ave Louisville KY 40204,http://www.facebook.com/derbycitymarket
Wayne's Place,270-625-1701,2216 Hwy 62W Princeton KY 42445,unavailable
Janice Mason Art Museum,270-522-9056,71 Main Street Cadiz KY 42211,http://www.facebook.com/JaniceMasonArtMuseum/
Trends N Treasures,270-761-6255,1306 S 12th St Murray KY 42071,http://www.facebook.com/Trends-N-Treasures-337753299591091/
Twin Lakes Antique Mall,270-362-2218,6953 US Highway 641 Ext N Gilbertsville KY 42044,http://www.facebook.com/pages/Twin-Lakes-Antique-Mall/199894069916
Nettie Jarvis Antiques,502-252-9555,111-113 Taylorsville Rd Bloomfield KY 40008,http://www.facebook.com/nettiejarvisantiques
Ann's Antique Store,606-207-5155,59 Cherry Ln Salt Lick KY 40371,http://www.facebook.com/annsantiques
Vice's Corner Market,606-247-2006,13506 Moorefield Rd Carlisle KY 40311,http://www.facebook.com/Vices-Corner-Market-139126946608507/
The Shabby Chick Marketplace,270-629-2276,1425 Burkesville Rd Glasgow KY 42141,http://www.facebook.com/theshabbychickmarketplace/
