Name,Phone,Address,Facebook
Possibilities Antiques and Collectibles,318-377-2680,101 Main St Minden LA 71055,http://facebook.com/possibilitiesminden
Le Boulevard Marketplace,504-455-4515,3815 Veterans Blvd Ste B Metairie LA 70002,http://www.facebook.com/LeBoulevardMarketplace
American Vintage Antiques & Consignment,985-351-4496,207 E. Oak Street Amite LA 70422,http://facebook.com/Facebook.com/americanvintageantiques
The Rusty Bucket Premier Chalk Paint Retailer,318-437-8010,400 Carter St Vidalia LA 71373,http://facebook.com/profile.php?id=100064095610891
Heritage House Antiques,225-791-3553,208 North Range Avenue Denham Springs LA 70726,http://facebook.com/HeritageHouseDS
TaWaSi Antiques and Vintage Show,not available,310 N Canal Blvd Thibodaux LA 70301,http://facebook.com/thibodauxantiqueshow
Old Schoolhouse Antique Mall,337-826-3580,123 S. Church Street Washington LA 70589,http://www.facebook.com/pages/Washington-Old-Schoolhouse-Antique-Mall/541412572565796
A Touch Of Country LLC,985-370-2167,310 E Pine St Ponchatoula LA 70454,http://facebook.com/atouchofcountryllc
Let The Good Times Roll Antiques,504-382-1364,1928 First Street Slidell LA 70458,unavailable
Sunset Rail Stop Flea Market,337-662-1118,312 Anna Street Sunset LA 70584,http://facebook.com/SunsetRailStopFleaMarket
Annette's Antique Mall,985-265-4551,1928 First Street Slidell LA 70458,http://facebook.com/pagesAnnette's%20House%20of%20Decor138096042905512
Jocias Vintage Market,985-772-4987,6270 W Main St Houma LA 70360,http://facebook.com/JociasVintageMarket
ABA Collectibles, LLC,985-974-4334,138 W Pine St Ponchatoula LA 70454,http://www.facebook.com/www.ABACollectibles/
From Me To You,318-321-1224,3437 Masonic Dr Alexandria LA 71301,http://facebook.com/From-Me-To-You-Alexandria-Mall-104127665033234
Ole Fashion Things,337-234-4800,402 SW Evangeline Trwy Lafayette LA 70501,http://facebook.com/Facebook.com/olefashionthings
Ruby D's Antiques & Collectibles,337-238-3892,4799 Main Street Anacoco LA 71403,http://facebook.com/rubydsantiquesandcollectables
Blue Frog Antiques,225-436-4714,1723 Charter St. Jackson LA 70748,http://facebook.com/profile.php?id=100082906203027
2 Junkin Sisters,985-403-3984,11236 Highway 16 Amite LA 70422,http://facebook.com/profile.php?id=100085195333102
Heavenly Treasures Antique Mall,318-299-3835,103 Main St Minden LA 71055,http://www.facebook.com/HeavenlyTreasuresMindenLA
Circa 1857,225-387-8667,1857 Government St Baton Rouge LA 70802,http://facebook.com/pages/Circa-1857/353602526754
Blue Goose Antiques,985-641-4311,1928 First St Slidell LA 70458,unavailable
Chaleureux,985-486-0065,145 W Pine St Ponchatoula LA 70454,http://facebook.com/shopchaleureux
