Name,Phone,Address,Facebook
Columbary House Antiques,207-363-5496,1286 US Route 1 Cape Neddick ME 03902,http://facebook.com/columbaryhouse
Dunbar and Sons Antiques & Vintage,207-637-5014,207 Ossipee Trail Rt 25 Limington ME 04049,http://facebook.com/LimingtonMeadowsAntiqueandCollectibles
Pete's Place,207-229-6515,214 Hollis Rd Route 202 Hollis ME 04042,http://www.facebook.com/Petes-Place-aka-Truck-Stop-Antiques-624566814355756/
Americana Workshop,207-985-8356,111 York St Kennebunk ME 04043,http://www.facebook.com/Americana.Workshop
Orphan Annie's,207-782-0638,96 Court St Auburn ME 04210,http://www.facebook.com/Orphan-Annies-105517406182593/timeline
Porter's Antiques,207-549-4601,878 Rockland Rd Somerville ME 04348,http://www.facebook.com/PortersAntiques/
Breakaway Design & Antiques,207-360-0530,1755 Post Rd Wells ME 04090,http://www.facebook.com/PaulaChris2017/
Leona May’s Antique & Gift Shoppe,207-368-6089,147 Main St Newport ME 04953,http://facebook.com/leonamays.me
Carboni Antiques,207-475-3877,1755 Post Road Wells ME 04090,unavailable
Patricia Stauble Antiques,207-841-2562,243 Dodge Road Edgecomb ME 04556,unavailable
Route 26 Antiques,207-744-0232,1188 Main St # 3 Oxford ME 04270,http://www.facebook.com/Route26Antiques/
Hilltop Antiques,207-474-0055,48 Water St Skowhegan ME 04976,http://www.facebook.com/hilltop.antiques/timeline
Wiscasset Antiques Mall,207-882-4029,536 Bath Rd Wiscasset ME 04578,http://www.facebook.com/wiscassetantiquesmall/
Fairfield Antiques Mall,207-453-4100,382 Skowhegan Rd Fairfield ME 04937,http://m.facebook.com/Fairfield-Antiques-Mall-324480906050/
Antique Marketplace & Café,207-941-2111,65 Main Street Bangor ME 04401,http://www.facebook.com/pg/antiquemarketplacecafe
Old Winterport Commercial House Antique Shop,207-223-5854,114 Main St Winterport ME 04496,http://www.facebook.com/Old-Winterport-Commercial-House-108673596564/
Antiques USA,207-985-7766,1669 Portland Rd Arundel ME 04046,unavailable
Kezar Falls Curiosity Shop,207-625-7830,85 Federal Rd Parsonsfield ME 04047,http://facebook.com/kezarfallscuriosityshop
Hathaway Mill Antiques,207-877-0250,10 Water St  Ste 101 Waterville ME 04901,http://www.facebook.com/Hathaway-Mill-Antiques-324981234619830/
Indian Trail Antiques,207-586-5000,23 Indian Trail Rd Newcastle ME 04553,http://www.facebook.com/Indian-Trail-Antiques-270427383163012/
Cabot Mill Antiques,207-725-2855,14 Maine St Brunswick ME 04011,http://www.facebook.com/cabotmillantiques/
Old House Parts Co,207-985-1999,1 Trackside Dr Kennebunk ME 04043,http://facebook.com/profile.php?id=127692740581045
Back In The Day Antique Mall,207-848-7699,814 Main Road Carmel ME 04419,http://www.facebook.com/Backinthedayantiquemall
Vacationland Antiques,207-653-5064,33 Main Street Dixfield ME 04224,unavailable
Biddeford Vintage Market,207-571-9199,156 Main St  Ste 104 Biddeford ME 04005,http://www.instagram.com/biddefordvintagemarket/
The Farm Antiques,207-985-2656,294 Mildram Road Wells ME 04090,unavailable
Freeport Antiques & Heirlooms Showcase,207-869-5091,31 Main Street Freeport ME 04032,http://www.facebook.com/freeportantiquesshowcase/
The Antique Salon,207-462-7551,262 Bath Rd/ Route 1 Wiscasset ME 04578,unavailable
1A Relics,207-412-0822,444 Bangor Rd Ellsworth ME 04605,unavailable
Bo-Mar Hall Antiques and Collectibles,207-360-0943,1622 Post Road Wells ME 04090,http://www.facebook.com/Bo-Mar-Hall-Antiques-Collectibles-546796515794449/
Barn on 26 Antiques,207-657-3470,361 Shaker Road Gray ME 04039,unavailable
Hobby Horse Antiques Marketplace,207-323-6275,383 E Main St Searsport ME 04974,http://www.facebook.com/Hobby-Horse-Antiques-and-Flea-Market-217711531593616/
Iron Horse Antiques and Antique Auto Museum,207-633-4727,586 Wiscasset Road Boothbay ME 04537,http://facebook.com/RailwayVillage
Melissa's Mighty Finds,207-229-5065,1479 Portland Rd Arundel ME 04046,http://www.facebook.com/MelissasMightyFinds/
The York Antiques Gallery,207-363-5002,746 US Route 1 York ME 03909,http://facebook.com/yorkantiquesgallery/
Old Creamery Antique Mall,207-667-0522,13 Hancock St Ellsworth ME 04605,http://www.facebook.com/Old-Creamery-159197597445360/
The Rusticators Emporium,207-213-6679,151 Water St Hallowell ME 04347,http://facebook.com/therusticatorsemporium
Maine Wicked Goods Mercantile,207-869-5251,304 US Route 1 Freeport ME 04032,http://www.facebook.com/Maine-Wicked-Goods-Mercantile-241922675973278/
Arundel Antiques,207-985-7965,1713 Portland Road Arundel ME 04046,http://m.facebook.com/arundelantiques
Peter Mavris Antique Shows ,207-608-3086,515 North Rd Parsonsfield ME 04047,http://facebook.com/PeterMavrisAntiqueShows
Foreside Antiques,207-781-5367,48 US Route 1 Falmouth ME 04105,http://www.facebook.com/Foreside-Antiques-Inc-183892874996019/
Central Maine Antique Mall,207-262-4010,1372 Union Street Bangor ME 04401,http://facebook.com/profile.php?id=621322048010293
Generations Antique Mall,207-323-1799,411 West St ROCKPORT ME 04865,http://www.facebook.com/GenerationsMall
