Name,Phone,Address,Facebook
Country Bumpkin' Antiques,978-652-5429,36 Baldwinville Rd Templeton MA 01468,http://www.facebook.com/Country-Bumpkin-Antiques-819303908088174/
North Bridge Antiques,978-371-1442,28 Walden St Concord MA 01742,http://www.facebook.com/NBACONCORD/
Great Road Vintage,978-429-8322,469 Great Road Acton MA 01720,http://facebook.com/greatroadhome
Antique Mall of Lowell,978-856-7490,20 payton St Lowell,MA MA 01851,http://facebook.com/lowellsalvage
Jeffrey's Antique CO-OP Mall,978-582-7831,62 Chase Road Lunenburg MA 01462,http://www.facebook.com/JeffreysAntiqueCoOpMall/
The Sandwich Flea Market,508-685-2767,34 Quaker Meeting House Rd Sandwich MA 02563,http://facebook.com/profile.php?id=100057613181468
Cutiques,978-534-6604,901 Central St Leominster MA 01453,http://facebook.com/cutiques
Acushnet River Antiques LLC,508-992-8878,50 Kilburn St Exit 27 off 195 New Bedford MA 02740,http://www.facebook.com/ARIVERANT/
Thoreauly Antiques,978-371-0100,27 Walden St Concord MA 01742,http://www.facebook.com/Thoreauly-Antiques-187688777916464/
The Antique Shop,617-796-9959,356 Watertown St Newton MA 02458,http://www.instagram.com/TheAntiqueShop_ma/
Upton House Antiques,978-486-3367,275 King St Littleton MA 01460,unavailable
Sturbridge Antique Shops,508-347-2744,128 Charlton Rd  Route 20 Sturbridge MA 01566,http://Facebook.com/SturbridgeAntiqueShops
Elegant Findings Antiques,617-973-4844,89 Charles St Boston MA 02114,http://www.instagram.com/elegantfindingsantiques/
Hobart Village Antique Mall,978-597-0332,445 Main St West Townsend MA 01474,http://www.facebook.com/pg/Hobart-Village-Antique-Mall-322717134163/
Serendipity Vintage Goods,978-228-8363,244 Newburyport Turnpike Rowley MA 01969,http://www.facebook.com/serendipityvintagegoods
Eclectic Collection,508-510-3983,466 W Center St W Bridgewater MA 02379,http://www.facebook.com/eclecticcollectionwestbridgewater
New Bedford Antiques at the Cove,508-993-7600,127 Rodney French Blvd New Bedford MA 02744,http://www.facebook.com/New-Bedford-Antiques-at-the-Cove-325031067585980/
Upstairs Downstairs Home,617-367-1950,69 Charles Street Boston MA 02114,http://www.facebook.com/upstairsdownstairsantiques/
Windsong Antiques,508-432-1797,346 Route 28 Harwich Port MA 02646,http://www.facebook.com/Windsong-Antiques-Inc-141128185932718/
Brimfield Antique Shows,781-324-4400,6 Mill Lane Road (Hertan's Show Field) Brimfield MA 01010,http://www.facebook.com/brimfieldlive/
Vintage Home and Design Studio,508-566-1114,31 Mill St Fl 2 Assonet MA 02702,unavailable
Antique Junction,413-531-3281,1294 S Main St Palmer MA 01069,http://facebook.com/palmerantiquejunction
Antiques And All That Jazz,413-775-3508,107 Stockbridge Rd Gt Barrington MA 01230,http://facebook.com/profile.php?id=100057491826799
Ramble Market,781-790-5260,39 Green St Waltham MA 02451,http://www.facebook.com/RambleMarketAntiques/
Walden Street Antiques,978-610-6802,23 Walden St Concord MA 01742,http://facebook.com/waldenstreetantiques/
Fabled Antiques,617-936-3008,93 Charles St. Boston MA 02114,http://facebook.com/fabledantiques
Boston Antiques & Lamp Shades,617-367-9000,119 Charles St Lowr Level Boston MA 02114,http://facebook.com/BostonAntiquesLampShades
