Name,Phone,Address,Facebook
Seven Sisters Antiques,231-773-6026,3144 Heights Ravenna Rd Muskegon MI 49444,http://www.facebook.com/Seven-Sisters-Antiques-Gifts-197242503708155/
Country Cottage Decor & Antiques,231-779-2434,215 N Mitchell St Cadillac MI 49601,http://facebook.com/Country-Cottage-Decor-1639923049602026
Four Corners Antique & Artisan Market Place,231-760-6633,315 Center Street North Muskegon MI 49445,http://www.facebook.com/Four-Corners-Antique-Artisan-Market-Place-382440798934955/
Burgess Antique Center,269-484-1100,67 E. Battle Creek St Galesburg MI 49053,http://www.facebook.com/Burgessantiquecenter/
Saginaw Antique Warehouse & Loft,989-755-4343,1122 Tittabawassee Rd Saginaw MI 48604,http://www.facebook.com/AntiqueWarehouseSaginaw/
Our Little Shoppe,586-850-4410,5453 Auburn Rd Shelby Twp MI 48317,http://www.facebook.com/ourlittleshopantiques
Elk Rapids Antiques,231-498-2222,914 US 31 Elk Rapids MI 49629,http://www.facebook.com/elkrapids.antiques
Ditto Consignments & Design,586-716-9400,37017 Green St New Baltimore MI 48047,http://facebook.com/dittoconsignments
The Spare Room Antiques & Collectibles,419-349-8378,321 Milton St Pellston MI 49769,http://www.facebook.com/pages/category/Antique-Store/The-Spare-Room-Antiques-Collectibles-842422325811818/
Perception,616-451-2393,940 28th Street S.E. Grand Rapids MI 49508,unavailable
Rusty Gold Antiques,989-944-9583,201 N. Main St Evart MI 49631,http://www.facebook.com/rustygoldantiques201
Sisters Attic,989-964-1536,105 Saginaw St Sterling MI 48659,http://www.facebook.com/SistersAtticMI/
Northern Boater Nautical Antiques,231-944-2944,9044 S Cedar St Cedar MI 49621,http://www.facebook.com/northernboater/
The Wooden Shoe Antique Mall,616-396-0353,447 US-31 Holland MI 49423,http://www.facebook.com/TheWoodenShoeAntiqueMall
Plaza Antiques & Collectibles,313-386-7515,2621 Dix Hwy Lincoln Park MI 48146,http://www.facebook.com/plazaantiquesmall/
Vintage Eastern Market ,586-904-1275,1515 Division St Detroit MI 48207,http://facebook.com/vintageeasternmarket
Vintage Green,616-402-5901,7 N 7th St Grand Haven MI 49417,http://www.facebook.com/vintagegreen/
Lowensteins Antiques,906-475-4567,334 Iron St Negaunee MI 49866,http://facebook.com/Lowensteins-Antique-Marketplace-179036135479938
Timberwood Antique Mall, LLC,989-263-0068,4991 M 30 Beaverton MI 48612,http://facebook.com/profile.php?id=100088498999351
Motor City Antiques and Salvage,734-782-4018,13431 Telegraph Rd Flat Rock MI 48134,http://www.facebook.com/MotorCityAntiqueMall/
Old Barn Antiques,231-223-4123,2513 Nelson Rd Traverse City MI 49686,unavailable
Walt's Garage Antiques,231-223-4123,2513 Nelson Rd Traverse City MI 49686,unavailable
Pine Street Mercantile,231-578-1892,866 Pine St. Muskegon MI 49442,http://www.facebook.com/Pine-Street-Mercantile-358547678289058/
Algonac Trade Center & Antique Mall,810-794-4455,1031 St. Clair River Dr. Algonac MI 48001,http://www.facebook.com/Algonac-Antique-Mall-and-Trade-Center-190659707625518/
Harbor Antique Mall,231-264-6850,201 River St Elk Rapids MI 49629,http://www.facebook.com/Harbor-Antiques-Mall-112571300451839
The Heritage Co.,269-385-1004,150 N Edwards Kalamazoo MI 49007,http://www.facebook.com/heritagekalamazoo
The Better Half,906-273-1507,1313 S Front St Ste 2 Marquette MI 49855,unavailable
Wilson Antiques - Bay West Precious Metals Exchange,231-946-4177,123 S Union St Traverse City MI 49684,http://www.facebook.com/WilsonAntiques/
