Name,Phone,Address,Facebook
Flowood Antique Flea Market,769-572-5300,200 Gulf South Dr. Flowood MS 39232,http://www.facebook.com/pages/The-Flea-Market-Mississippis-Trade-Place/106972262679567/
That Perfect Piece,601-308-5122,216 East Marion Ave Crystal Springs MS 39059,http://facebook.com/thatperfectpiecems/
The Old Stone Station & Antique Gallery,662-258-3983,2750 W Roane Ave Eupora MS 39744,http://www.facebook.com/The-Old-Stone-Station-Gallery-102157869130571
Antique Mall of the South,601-853-4000,367 Highway 51 Ridgeland MS 39157,http://facebook.com/antiquemall
The Dapper Wolf,601-299-4561,103 Braswell Rd Hattiesburg MS 39401,http://www.facebook.com/The-Dapper-Wolf-107630140764006/
Corners Mansion Inn - A Bed and Breakfast ,601-636-7421,601 Klein Street Vicksburg MS 39180,http://facebook.com/cornersmansioninn
The Rusty Magnolia,601-889-0475,129 W Canal St Picayune MS 39466,http://facebook.com/rustymagnoliapicayune
Two Fat Friends,601-408-5629,1950 Highway 49  Ste B Wiggins MS 39577,http://www.facebook.com/twofatfriendsinc
The Heirloom,601-308-5111,114 East Georgetown St Crystal Springs MS 39059,http://facebook.com/TheHeirloomCrystalSprings
Katzenmeyer's Antique Shop,601-415-3121,3508 Washington St Vicksburg MS 39180,http://facebook.com/pagesKatzenmeyers192587330796615
Marketplace Antique Mall,601-544-6644,5360 U S Highway 49  Ste 10 Hattiesburg MS 39401,http://www.facebook.com/Marketplace-antiques-103061751103006
Cathy's Bargain and Consignment Shop,601-673-1299,5183 Main St Lucedale MS 39452,http://facebook.com/profile.php?id=100063541004711
Live Oak Antiques - Garden and Home,601-442-5919,169 Homochitto Street Natchez MS 39120,http://www.facebook.com/LiveOakConstructionNatchezMS/
Southaven Antiques & Gifts ,662-393-2646,310 Stateline Rd W Southaven MS 38671,http://www.facebook.com/southavenantiques.gifts/
Milltown Mall,601-643-1446,2058 Highway 51 Wesson MS 39191,http://www.facebook.com/milltown01
Franklin Street Relics,601-653-4112,512 Franklin Street Natchez MS 39120,http://facebook.com/FranklinStRelics
Mercantile on Canal,769-926-2127,125 W Canal St Picayune MS 39466,http://facebook.com/profile.php?id=100076452997490
EJ's Coin & Variety Shop,601-493-6675,676 Highway 61 N Natchez MS 39120,http://facebook.com/EJsYardSale
The Henry Smith House Bed and Breakfast,601-749-8606,99 Henry Smith Rd Picayune MS 39466,http://www.facebook.com/TheHenrySmithHouse/
Bits N Pieces, LLC,662-494-7111,646 Commerce St West Point MS 39773,http://facebook.com/BnPWestPoint
The Rusted Bucket Antiques,662-269-2867,635 Daybrite Dr. Tupelo MS 38801,http://facebook.com/profile.php?id=100063902226573
Oldies But Goodies Antiques & Flea Market,662-552-0655,18042 US Hwy 82 Mathiston MS 39752,http://facebook.com/Oldiesbutgoodiesmathiston
Hickory Pick'N Flea Market & Antiques,601-357-5053,9560 Highway 503 Hickory MS 39332,http://www.facebook.com/hickorypickn1/
Right Side of the Moon Air BandB,662-444-3532,North St Cleveland MS 38732,http://www.facebook.com/MoonRetreat
Lower Lodge Conservation & Museum Services,601-442-2617,712 Franklin St Natchez MS 39120,http://Facebook.com/Lower-Lodge-Antiques-Conservation-166416233429208
Lower Lodge Antiques,601-442-2617,712 Franklin St Natchez MS 39120,unavailable
Central Mississippi Flea Market,662-289-2141,113 N Natchez St Kosciusko MS 39090,http://www.facebook.com/Central-mississippi-fleamarket-1702452853411674/
The Crosby Arboretum,601-799-2311,370 Ridge Road Picayune MS 39466,http://facebook.com/CrosbyArboretum/
NOBLE HOUSE Estate Sale/Consignment Store,769-242-0657,141 Kirkwood St Picayune MS 39466,http://facebook.com/noblehouseestatesaleandconsignmentstore/
Emporium Antiques & Vendor Mall,769-216-3136,2932 Highway 49 S Florence MS 39073,http://Facebook.com/Emporium-Antiques-and-Vendor-Mall-105689507804804
Rebecca Rose Flea Market,601-885-5000,105 Main St Utica MS 39175,http://Facebook.com/rebeccarosefleamarket
The Artist Mill at Old Town,901-461-8194,9144 Pigeon Roost Rd Olive Branch MS 38654,http://facebook.com/UniquePaintng
Moonstruck Flea Market,662-444-3532,150 North St Cleveland MS 38732,http://facebook.com/moonstruckfleamarket
Horsefeathers Antique Mall,662-268-8588,5887 Ms Highway 182 Starkville MS 39759,http://www.facebook.com/pages/Horsefeathers-Mall-182/489740357788811
Louisville Trading Co,662-803-3689,14100 Hwy 15 S Louisville MS 39339,http://facebook.com/Facebook.com/louisvilletradingco
Penny's Flea Market,601-679-7733,7972 Highway 45 N Meridian MS 39305,http://www.facebook.com/MS.PennysFleaMarket
The Shack Too ,662-893-3082,7035 Depot St Olive Branch MS 38654,http://facebook.com/shackantique.mall
The Front Porch,662-508-5115,411 Summit St Winona MS 38967,http://facebook.com/The-Front-Porch-197295124544488
Presley Heights Antique Mall,662-260-5200,1317 East Main Street Tupelo MS 38804,http://facebook.com/profile.php?id=100090312094002
The Open Market Corinth,662-665-9010,1004 Highway 72 East Corinth MS 38834,http://www.facebook.com/The-Open-Market-856880237692866/
Leamans Antiques,601-268-2511,2103 W Pine St Hattiesburg MS 39402,http://www.facebook.com/pages/The-Antique-mall-of-Hattiesburg-MS/134743518725
Mississippi Antique Galleria,228-809-8069,1909 East Pass Road Gulfport MS 39507,http://facebook.com/msantiquegalleria
49 South Antiques and Flea Market,601-845-4183,3977 Highway 49 S Florence MS 39073,http://Facebook.com/49SouthAntiquesandfleamarket
The Prissy Hen,662-466-0651,8160 Hwy 51 Vaiden MS 39176,http://facebook.com/theprissyhen
Unique Treasures Vendor Mall,601-600-2317,814 ROBB STREET Summit MS 39666,http://facebook.com/groups/1624538494302172/
Natchez Mercantile at Consign & Design,601-807-9440,105 N Commerce St. Natchez MS 39120,http://facebook.com/NATCHEZms212
Porch Swing Pickings,662-862-5031,102 E Main Street Fulton MS 38843,http://facebook.com/porchswingpickingsfulton
49 Antique & Flea Market,601-583-4554,19 Dewitt Carter RD Hattiesburg MS 39401,http://Facebook.com/49antiqueFleaMarket
Ocean Springs Mercantile,228-493-8101,700 Washington Ave Ocean Springs MS 39564,http://facebook.com/oceanspringsmercantile/
Dogwood Creek Mercantile,228-229-0004,248 Winter Street Lucedale MS 39452,http://facebook.com/profile.php?id=100082888615054
Iron Magnolia Antiques,228-918-6468,6030 Menge Ave. South Pass Christian MS 39571,http://facebook.com/ironmagnolia
Ole Man River Antiques,601-597-9289,708 Franklin St Natchez MS 39120,http://facebook.com/OleManRiverAntiques1
The Open Market Vicksburg,601-738-5441,2133 Washington St Vicksburg MS 39180,http://www.facebook.com/The-Open-Market-Vicksburg-1337146189741120/
The Showroom Antiques,601-888-7868,170 US Hwy 61 Woodville MS 39669,http://www.facebook.com/WoodvilleMS
Finder's Keepers Flea Mkt & Antique Mall,601-453-3252,6096 Dale Dr Marion MS 39342,http://www.facebook.com/Finders-Keepers-Flea-Market-Antique-Mall-1428622930689787/timeline
Peddlers' JUNKtion,601-342-2278,604 Carroll Gartin Blvd  B Laurel MS 39440,http://facebook.com/peddlersjunktion
Coastal Magpie,228-215-1815,918 Washington Ave Ocean Springs MS 39564,http://www.facebook.com/Coastal-Magpie-830746573679015/
Red Goat General Store,601-375-5053,9446 Highway 503 Hickory MS 39332,http://Facebook.com/Red-Goat-General-Store-114432923718928
Thrifty Chicks,601-791-5199,5158 Main Street Lucedale MS 39452,http://facebook.com/ThriftyChicksFabulousFinds
Antiques & More,228-207-0687,10345 Auto Mall Pkwy Ste A D'Iberville MS 39540,http://facebook.com/antiquesandmoreresale
River Road Mercantile,601-966-8558,410 Larkin I Smith Dr Poplarville MS 39470,http://facebook.com/RiverRoadMerc/
Nana & Pop-Pop’s Shop Flea Market & Antiques,601-736-9123,1114 Broad Street Columbia MS 39429,http://facebook.com/NanaPopPopsShop
Neysa's Fireside Shop,662-843-3311,109 North St Cleveland MS 38732,http://facebook.com/Facebook.com/neysasfiresideshop
Family Flea Market & Flooring,601-286-3521,1107 B St Meridian MS 39301,http://Facebook.com/familyfleamarket
Barze' Place Antique & Collectibles Mall,601-749-0756,105 Highway 11 S Picayune MS 39466,unavailable
Antique Aly,769-300-0262,294 Commerce Park Dr Ridgeland MS 39157,http://facebook.com/antiquealy
