Name,Phone,Address,Facebook
Motique @ Nobhill,505-266-0462,4716 Central Ave SE Albuquerque NM 87108,http://facebook.com/motiqueatnobhill
Before My Time Antiques,505-320-3676,729 E Main St Farmington NM 87401,http://www.facebook.com/BeforeMyTimeAntiques/
Anteeks On Menaul,505-298-7420,8908 Menaul Blvd Ne Albuquerque NM 87112,http://www.facebook.com/AnteeksOnMenaul/
Old Town Antiques,505-842-6657,416 Romero St Nw Albuquerque NM 87104,unavailable
Prized Possessions,505-899-4800,4534 Corrales Rd Corrales NM 87048,http://www.facebook.com/prized.possessions
Vintage Revival,575-937-8834,300 St Francis Dr Tularosa NM 88352,http://www.facebook.com/vintagerevivaltularosa/
Yesterday Fine Antiques & Collectibles,575-258-1205,1001 Mechem Drive Ruidoso NM 88355,http://facebook.com/in.ruidoso/
Rough Rider Antiques,505-454-8063,501 Railroad Ave Las Vegas NM 87701,http://www.facebook.com/roughriderantiqueslv/
Bullet Bob Has It,575-799-8432,417 N Main St Clovis NM 88101,http://facebook.com/bulletbobhasit
Santa Fe Antiques @ Valdes,505-982-0017,1006 Marquez Pl Santa Fe NM 87505,http://facebook.com/santafeantiques
Great Southwestern Antique Show,505-255-4054,4000 Central Ave Se Albuquerque NM 87108,http://facebook.com/gswevents
Mark White Fine Art,505-982-2073,414 Canyon Rd Santa Fe NM 87501,unavailable
Cowboys and Indians Antiques,505-255-4054,4000 Central Ave Se Albuquerque NM 87108,http://facebook.com/cowboysandindiansantiques
Pecos River Antique Mall,575-234-9977,110 S Canyon St Carlsbad NM 88220,http://facebook.com/pecos-river-antique-mall-114519501919194/
Exhibit A,575-762-0391,318 N Main St Clovis NM 88101,http://facebook.com/theretrogal/
Los Ranchos Antique Mall,505-312-7823,7901 4th St Nw  G Los Ranchos NM 87114,http://www.facebook.com/losranchosantiques
Mia's Collectables,575-921-2548,823 New York Ave Alamogordo NM 88310,http://www.facebook.com/Mias-Collectibles-1731248003868341/
Sagebrush Annie's Antiques,575-746-3137,119 W Main St Artesia NM 88210,http://facebook.com/sagebrushanniesantiques/
Uneek Findings,505-265-9095,4700 Central Ave SE Albuquerque NM 87108,http://www.facebook.com/Uneek-Findings-171329689606160/
Antique Specialty Mall,505-268-8080,4516 Central Ave SE Albuquerque NM 87108,http://facebook.com/antiquespecialtymall/
Jespersen's Cache,575-483-2349,403 Maxwell Ave Springer NM 87747,unavailable
Simply Blessed,575-309-3986,101 Pile St Clovis NM 88101,http://facebook.com/simplyblessed101pilest/
Copper Bell Antiques,505-828-0595,7425 4th St NW Los Ranchos NM 87107,http://www.facebook.com/copperbellantiques/
Junque & Sister,505-632-2303,308 W Broadway Ave Bloomfield NM 87413,http://www.facebook.com/JunqueandSister/
Nana's Collectibles and Antique Mall,575-397-4481,905 1/2 E Bender Blvd Hobbs NM 88240,http://facebook.com/nanascollectibles/
Plaza Antiques,505-454-9447,1805 Plaza St Las Vegas NM 87701,http://www.facebook.com/PlazaAntiquesLasVegasNewMexico/
