Name,Phone,Address,Facebook
Port City Co-Op,315-402-8483,137b W 2nd St Oswego NY 13126,http://facebook.com/PortCityCoopshop/
Skaneateles Antique Center,315-685-0752,12 E Genesee St Skaneateles NY 13152,http://www.facebook.com/SkaneatelesAntiqueCenter
Wilson Antiques & Marketplace,716-541-5182,323 Young St Wilson NY 14172,http://www.instagram.com/wilsonantiquesmarketplace/
Willowcreek Antiques & Interiors,not available,5377 W Ridge Rd Spencerport NY 14559,http://facebook.com/willowcreekantiques/
Crossroads Country Mall,585-624-1993,7348 E Main St Lima NY 14485,http://facebook.com/crossroadsantiquesoflima/
The Downtown Browsery-Albion,585-283-5077,118 N Main Street Albion NY 14411,http://facebook.com/DTBalb
The Inn at Stone Mill,not available,410 Canal Pl Little Falls NY 13365,http://www.facebook.com/theinnatstonemill/
Modern Mercantile,not available,135 E Center St Medina NY 14103,http://www.facebook.com/ModernMercantileMedina
Little Falls Antique Center,315-823-0240,25 W Mill St Little Falls NY 13365,http://facebook.com/profile.php?id=100057824462692
Posie's Vintiques,607-286-4025,6 Center St Milford NY 13807,http://www.facebook.com/PosiesVintiques/
The Eclectic Chic,315-363-1031,2044 Glenwood Shopping Plz Oneida NY 13421,http://www.facebook.com/TheEclecticChicNY
See The Man, LLC,607-316-8463,54 N Main St Sherburne NY 13460,http://www.facebook.com/seethemanantiques
Black Dragon Antiques,518-867-9937,2100 Doubleday Ave Ballston Spa NY 12020,http://www.facebook.com/blackdragonantiques/
The Old Chapel Antique & Artisan Market,716-545-6102,172 Robinson St N Tonawanda NY 14120,http://facebook.com/TheOldChapelMarket/
The Shoppes at Oldies But Goodies,not available,10 Carpenter Rd Elmira NY 14903,http://www.facebook.com/shoppesatobg
Waverly Square Antiques,518-309-3566,19 Low St Ballston Spa NY 12020,http://www.facebook.com/WaverlySquareAntiques/
Black Sheep Antique Center,518-895-2983,7608 Western Tpk Duanesburg NY 12056,http://facebook.com/profile.php?id=100078189805502
Chic Vintage & Upcycle,518-309-4325,2nd Floor @ Waverly Square Antiques Ballston Spa NY 12020,http://www.instagram.com/chic_vintage_upcycle/
