Name,Phone,Address,Facebook
Big Oak Restoration,919-475-2375,117 W Clay St Mebane NC 27302,http://www.facebook.com/bigoakrestorationNC
Gibsonville Antiques and Collectibles,336-446-0234,106 E Railroad Ave Gibsonville NC 27249,http://www.facebook.com/pages/Gibsonville-Antiques-Collectibles/100559746685531
Pepper & Doughtie's Antiques & Gifts,252-537-8875,1031 Roanoke Ave Roanoke Rapids NC 27870,http://www.facebook.com/pepperdoughtieantiques
The Farmers Wife and Company,910-914-6292,101 Leslie Newsome Ave Whiteville NC 28472,http://facebook.com/thefarmerswifeandco
Counting Stars Antiques,910-514-9419,514 Broad St Fuquay-Varina NC 27526,http://Facebook.com/countingstarsantiques
Remember When,919-693-3112,917 College St Oxford NC 27565,http://www.facebook.com/RememberWhenAntiquesCollectiblesGiftGardenShoppe/
Antique Market of Shelby,980-404-1117,107 W Warren St Shelby NC 28150,http://www.facebook.com/AntiqueMarketofShelby/
Vintage Marketplace,910-336-9212,5827 Oleander Dr Wilmington NC 28403,http://Facebook.com/vtgmktplace
Whistlestop Depot,828-349-1600,145 River Rd Franklin NC 28734,http://www.facebook.com/WhistleStopDepotNC
Catawba River Antique Mall,704-825-2383,406 E Catawba St Belmont NC 28012,http://facebook.com/CatawbaRiverAntiqueMall-451258994971473
Main St Antiques & Design Gallery - North Carolina,704-746-3636,500 S Main St Mooresville NC 28115,http://www.facebook.com/MainStAntique/
Dale’s Wheels Through Time,828-926-6266,62 Vintage Lane Maggie Valley NC 28751,http://www.facebook.com/wheelsthroughtime
Granddaddy's Antique Mall,336-570-1997,2316 Maple Ave Burlington NC 27215,http://facebook.com/GanddaddysAntiqueMall
The Ivy Cottage,910-815-0907,3030 Market Street Wilmington NC 28403,http://facebook.com/The-Ivy-Cottage-135795989773133/
Eagle Eye Antiques NC,828-692-7009,3517 Asheville Highway Hendersonville NC 28791,http://facebook.com/eagleeyeantiqueshville
Southern Heritage Folkart & Antiques,252-268-6629,115 N Queen St Kinston NC 28501,http://facebook.com/southernheritagekinston
The Coop DeVille Mercantil Antiques and Gifts,910-425-5005,2429 Hope Mills Rd Fayetteville NC 28304,http://facebook.com/The-Coop-DeVille-Mercantil-100804821742151
Calabash Antiques ,910-579-4664,10138 Beach Dr SW  Suite 3 Calabash NC 28467,http://www.facebook.com/Calabash-Antiques-109538681553760
Gaston Pickers, LLC,704-852-7055,503 Long Avenue Gastonia NC 28054,http://Facebook.com/Gaston-Pickers-139612876226468
Dark Horse Antique Market,828-859-5634,1161 South Trade Street Tryon NC 28782,http://facebook.com/darkhorseantiquemarket
Old Mill Market Square,828-859-5467,151 Southern Mercerizing Rd Tryon NC 28782,http://www.facebook.com/OldMillMarketSquar/
ACME Antique Market,828-680-2263,246 Union Sq Nw Ste A Hickory NC 28601,http://Facebook.com/acmeantiquemarket
Lodestone Art and Antiques,910-223-2989,223 West Russell St Fayetteville NC 28301,http://www.facebook.com/Lodestoneantique
Altamont Vintage, Collectibles & Antiques,828-552-3097,120 Swannanoa River Rd Asheville NC 28805,http://Facebook.com/altamontvintage
Elkin Antiques and Collectibles Mall,336-526-3000,131 A South Bridge Street Elkin NC 28621,http://www.facebook.com/pages/Elkin-Antiques-and-Collectibles-Mall/333208710031930
John A. Reynolds,828-577-6890,1105 Rosman Hwy Brevard NC 28712,unavailable
Farmhouse Vintage Treasures,919-894-6068,208 E Main St Benson NC 27504,http://facebook.com/farmhousevintagetreasures
Architectural Warehouse NC,828-859-2297,151 Southern Mercerizing Road Tryon NC 28782,http://facebook.com/architecturalwarehousetryon
SuzAnna's Antiques,919-844-2652,103 S Main St Rolesville NC 27571,http://www.facebook.com/suzannasantique/
Southern Conversations Vintage Antiques & Design,864-381-2085,131 Atkinson St Laurinburg NC 28352,http://facebook.com/profile.php?id=100090705377709
MANtiques,828-884-9021,68 W Main St Brevard NC 28712,http://www.facebook.com/mantiquesNC
Market Station Antiques,704-982-2102,113 S Railroad St Albemarle NC 28001,http://www.facebook.com/MarketStationAntiques/
Banks Bed & Breakfast,919-348-9343,101 East Garner Rd Garner NC 27529,http://facebook.com/banksbnb
Depot Village,not available,260 Depot St Waynesville NC 28786,http://facebook.com/groups/1162809911014016
The MacPherson House Bed & Breakfast,910-302-7153,701 Hay St Fayetteville NC 28301,http://Facebook.com/themacphersonhouse
Back Road Pickers, LLC,704-538-8435,3949 Fallston Waco Rd  28090 LAWNDALE NC 28090,http://facebook.com/backroadpickers
Antique Antics,828-452-6225,1497 S Main St Waynesville NC 28786,http://facebook.com/pages/AntiqueAntics/150824994959108
Buckeye Antiques,828-575-9889,90 Buckeye Access Rd Swannanoa NC 28778,http://facebook.com/Buckeyeantiquesmall
Carriage House Estate Sales,843-225-0001,151 S Mercerizing Rd Tryon NC 28782,unavailable
The Attic Antiques,828-349-2900,268 E Palmer St Franklin NC 28734,http://www.facebook.com/pages/The-Attic-Antiques/302376849903176
Antique Market Place,336-662-0544,6428 Burnt Poplar Rd Greensboro NC 27409,http://Facebook.com/AMPgreensboro
Burke Manor Inn,336-449-6266,303 Burke St Gibsonville NC 27249,http://facebook.com/BurkeManorInn
White Owl Antique Mall ,704-436-2063,8455 NC Highway 49 N Mt Pleasant NC 28124,http://www.facebook.com/WhiteOwlAntiqueMallDesignCenter
Dixie Antiques and Collectables,910-233-9432,952 Bragg Blvd Fayetteville NC 28301,http://Facebook.com/DixieAntiquesandCollectables
Prim and Proper/Empty Nester ,910-723-9900,3319 F. Raeford Road Fayetteville NC 28303,http://facebook.com/Prim-and-Proper-159643524061635
Key City Antique Mall & Shops,336-990-0711,502 Main St N Wilkesboro NC 28659,http://facebook.com/keycityantiques
CAROLINA PEDDLERS,910-674-4171,3540 E Elizabethtown Rd Lumberton NC 28358,http://www.facebook.com/carolinapeddlersllc
NC Art & Antiques Mall,336-721-9904,1590 Peters Creek Pkwy Winston-Salem NC 27103,http://www.facebook.com/NCArtsAntiques
Wagon Wheel Antiques,828-209-8917,5664 Old Haywood Road Mills River NC 28759,unavailable
Dive Bomber Vintage,828-392-1944,126 Park Lane Dr Rutherfordton NC 28139,http://facebook.com/Dive-Bomber-Vintage-114722477787103
Shoppes on Patterson,336-856-2171,2804 Patterson Street Greensboro NC 27407,http://www.facebook.com/pages/Shoppes-On-Patterson/126164600800307
Kind of Blue,252-631-1114,919 Broad St New Bern NC 28560,http://facebook.com/kindofbluenc
The Marketplace,704-982-2499,510 Concord Rd Albemarle NC 28001,http://www.facebook.com/pages/The-Albemarle-Marketplace/137402946620/
Hidden Treasures,828-733-0081,137 Main Street Elk Park NC 28622,http://www.facebook.com/hiddentreasures137/
Balsam Antique Mall,828-452-7070,25 Muse Busines Park Waynesville NC 28786,unavailable
Cornerstone Mercantile,828-246-9390,190 Depot St Waynesville NC 28786,http://facebook.com/cornerstonemercantile
SANFORD ANTIQUE MALL,919-775-1969,118 SOUTH MOORE ST. SANFORD NC 27330,http://www.facebook.com/sanfordantiquemall
The Pickin' Coop Antique Mall,910-484-8400,708 Ramsey St Fayetteville NC 28301,http://facebook.com/The-Pickin-Coop-Antique-Mall-1675411569394895
