Name,Phone,Address,Facebook
Flory's Antique Depot,937-770-1019,316 Hay Ave Brookville OH 45309,http://facebook.com/florysantiquedepot.brookville
That Shop in Milford,513-781-3010,217 Main St Milford OH 45150,unavailable
Negley Antique Mall ,724-752-9386,7533 Commerce Street Negley OH 44441,http://www.facebook.com/Negley-Antique-Mall-and-Auction-176464262502605/
Village Mercantile,740-625-4005,24 E Main St Centerburg OH 43011,http://facebook.com/villagemercantile01
Antiques Trading Post Antique Mall - Berlin,330-893-3520,4761 North St Berlin OH 44610,unavailable
The Copper Kettle Antiques,419-280-1624,1544 S. Byrne Rd  F B & G Toledo OH 43614,http://facebook.com//profile.php?id=100076300810933
Shelly’s Antiques,937-417-3194,428 S Broadway St Greenville OH 45331,http://facebook.com/shellysantiquesanddecor/
Harrison Antiques,513-367-6127,508 Harrison Ave Harrison OH 45030,http://facebook.com/crazyforantiques/
Blackberry Patch Antiques,614-430-8820,71 W Olentangy St Powell OH 43065,unavailable
Company Store,724-752-9386,7533 Commerce Street Negley OH 44441,http://www.facebook.com/yardsalebay
Ohio Valley Antique Mall,513-874-7855,7285 Dixie Hwy Fairfield OH 45014,http://www.facebook.com/OhioValleyAntiques/
The Joshua Tree,330-272-4811,4416 Market St Boardman OH 44512,http://facebook.com/inNewportGlen
On The Square Antiques,614-330-6322,18 W High St Mount Gilead OH 43338,http://facebook.com/profile.php?id=100056814835785
Mr Darby's Antiques & Collectibles Emporium,330-953-3226,8574 Market Street Boardman OH 44512,http://www.facebook.com/mrdarbys/
Athens Underground,740-592-6286,90 N Court St Athens OH 45701,http://www.facebook.com/AthensUnderground/
Riverside Centre Antique Mall,513-996-2014,3742 Kellogg Ave Cincinnati OH 45226,http://facebook.com/Riverside-Center-Antique-Mall-Resale-Center-167214250035663/
The Purpose Shop,330-852-6135,102 Dover Rd NE Sugarcreek OH 44681,http://www.facebook.com/ThePurposeShop/
West Chester Antique Center,513-486-2098,4924 Union Centre Pavillion Dr West Chester OH 45069,http://facebook.com/West-Chester-Antique-Center-424006714470605/
Circle Antique,330-584-1728,9424 State Route 224 Deerfield OH 44411,http://www.facebook.com/circleantiquefleamarketLLC
Maumee Antique Mall,419-893-2468,1552 Reynolds Rd Maumee OH 43537,http://www.facebook.com/MaumeeAntiqueMall/
Gristmill Antiques,330-756-4802,516 Redwood Street SW Beach City OH 44608,http://www.facebook.com/Gristmill-Antique-Shop-241840969181841/
Heart of Ohio Antique Center,937-324-2188,4785 E National Rd Springfield OH 45505,http://www.facebook.com/HeartofOhio
The Olde Shoe Factory Antique Mall,740-687-1760,301 Forest Rose Ave Lancaster OH 43130,http://www.facebook.com/OldeShoeFactoryAntiqueMall/
Auglaize Antique Mall,419-738-8004,116 W Auglaize St Wapakoneta OH 45895,http://facebook.com/Auglaize-Antique-Mall-152450648118840
Burton Antique Market - Ohio,740-998-5300,14373 N. Cheshire Street Burton  OH 44021,http://facebook.com/Burton-Antiques-Market-220313541648665
Scott Antique Markets - Ohio,614-296-4484,717 E 17th Ave  Ohio Expo Center & State Fair Columbus OH 43211,unavailable
The Cracked Crock,330-720-4730,361 Lisbon St Canfield OH 44406,http://facebook.com/TheCrackedCrock
Antiques Village,937-291-5060,651 Lyons Rd Dayton OH 45459,http://www.facebook.com/AntiquesVillage/
Village Salvage,513-914-4177,85 S Main St Waynesville OH 45068,http://www.facebook.com/villagesalvage
Venice Pavilion Antiques,513-738-8180,4299 Hamilton Cleves Hwy Fairfield OH 45014,http://facebook.com/VenicePavilionAntiques/
The Treasure Chest,740-848-4488,20 E 1st St Fredericktown OH 43019,http://www.facebook.com/The-Treasure-Chest-101373642369714
