Name,Phone,Address,Facebook
Buck's Vintage on 66,not available,1024 S Quincy Ave Tulsa OK 74120,http://www.instagram.com/bucksvintage66/
Reesie's Relics,580-429-8844,413 C Avenue Cache OK 73527,http://www.facebook.com/ReesiesRelics/
Poor Cliff's Antiques,918-344-0098,19275 S Highway 125  Ste C Fairland OK 74343,unavailable
Junkerman Antiques,918-932-7501,5111 S Peoria Tulsa OK 74105,unavailable
SABI - Antiques and Vintage ,405-525-1717,4207 North Western Ave Oklahoma City OK 73118,unavailable
Briar Patch Market,918-453-0403,14587 Hwyv62 Tahlequah OK 74464,http://www.facebook.com/BriarPatchMarket/
Sailor Antiques & Collectibles,918-341-4838,422 W Will Rogers Blvd Claremore OK 74017,http://www.facebook.com/SailorAntiquesCollectibles/
Olde America Antique Mall,918-687-8600,2720 S 32nd St Muskogee OK 74401,http://facebook.com/Olde-America-Antique-Mall-1720340558279548
Olde Tyme Antiques & Etc,580-579-9798,129 W Main St Durant OK 74701,unavailable
Wood Shed Antique Mall,918-960-9754,31236 S Highway 69 Big Cabin OK 74332,http://facebook.com/WoodshedAntiques/
Eden Antique Emporium,405-603-7866,8310 NW 39th Expressway Bethany OK 73008,http://www.facebook.com/EdenAntiqueEmporium/
Our Pirates Cove,405-450-2929,305 N Main St Seminole OK 74868,http://www.facebook.com/Pirates-Cove-Antique-Booth-Mall-1600235800037937/
Sasser & Company Antiques,405-547-5298,147 S Main Perkins OK 74059,http://www.facebook.com/pages/Sasser-Company-Antiques-LLC/126335697419981
Kay's Vintage Antiques,918-214-2443,323 E Don Tyler Ave Dewey OK 74029,http://www.facebook.com/KaysVintageAntiques/
Decades Revisited Vintage Mall,405-601-6800,3639 NW 39th St Oklahoma City OK 73112,http://www.facebook.com/decadesrevisited/
Red Dirt Antiques,580-301-7281,506 S Main St Altus OK 73521,http://facebook.com/themarketplacealtus
Needful Things Market,918-376-9311,12701 E 86th Pl N Owasso OK 74055,http://facebook.com/needfulthingsmarket
Crossroad Treasures,918-485-0953,500 N Blake Wagoner OK 74467,http://www.facebook.com/pages/Crossroad-Treasures/164313290264416
Dog & Duck Antiques and Gifts,918-514-0370,21 E 2nd St Sand Springs OK 74063,http://www.facebook.com/dogandduckgifts/
Apple Tree Antique Gallery, LLC,405-495-0602,6740 Nw 39th Expy Bethany OK 73008,http://www.facebook.com/AppleTreeBethany/
Oliver-Hardin Antiques,405-273-5060,311 W Mac Arthur St Shawnee OK 74804,http://facebook.com/Oliver-Hardin-Antiques-and-More-1578912545656983/
Robey's Antiques and Fine Art,918-440-3242,916 W Main St Collinsville OK 74021,http://facebook.com/collinsvilleokusa/
Family Treasures Antique Mall,918-806-2233,412 N Main St Broken Arrow OK 74012,http://facebook.com/ftantiquemallba
Antique Depot,918-396-1279,2196 W Rogers Blvd Skiatook OK 74070,http://facebook.com/Antique.Depot.Skiatook
Ardmore Emporium Antiques & More,580-490-9223,105 E Main St Ardmore OK 73401,http://www.facebook.com/ardmoreemporiumantiquesmall/
Sparkle and Rust,918-967-7061,116 E Main St Stigler OK 74462,http://www.facebook.com/SparkleAndRustVintageLove
Just Stuff Consignment,918-269-7490,6349 S Memorial Dr Tulsa OK 74133,http://www.facebook.com/Just-Stuff-Plus-389370281137933/
Dewey Antique Show,918-440-3375,1109 N Delaware St Dewey OK 74029,unavailable
Windsor Market,918-254-9766,6530 E 51st St Tulsa OK 74145,http://facebook.com/windsormarket
I-44 Antique Mall,918-712-2222,5111 S Peoria Ave Tulsa OK 74105,http://www.facebook.com/I44AntiqueMall/
Petra's Original Fiesta Dishware,405-412-2220,3023 NW 23rd Oklahoma City OK 73107,unavailable
Sissy's Antiques & Vintage Treasures,415-640-7089,211 W Blakely Ave Rush Springs OK 73082,http://www.facebook.com/Sissysantiquesvintagetreasures/
Tulsa Antiques,918-935-3355,4305 E 31st St Tulsa OK 74135,http://www.facebook.com/Tulsa-Antiques-1847926382147156/
Back in the Day Antiques and Treasures,918-404-9905,409 W Will Rogers Blvd Claremore OK 74017,http://facebook.com/BackintheDayAntiquesandTreasures
