Name,Phone,Address,Facebook
Antiques Capital USA,not available,unavailable,http://facebook.com/profile.php?id=100090107474094
The Vintage Kitchen & Antiques,717-335-8522,2350 N Reading Rd Denver PA 17517,http://facebook.com/thevintagekitchenandantiques/
Crossroads Antique Mall,717-520-1600,825 Cocoa Ave Hershey PA 17033,unavailable
Lark Mountain Marketplace,570-822-8855,306 Wilkes Barre Township Blvd Wilkes Barre PA 18702,http://www.facebook.com/larkmountainmarketplace/
Lancaster County Antique Center, LLC,717-336-2701,2255 N Reading Rd Denver PA 17517,http://www.facebook.com/LancasterCountyAntiqueCenter/
Mother Tucker’s Antiques & Collectibles,717-738-1297,566 N Reading Rd Ephrata PA 17522,http://facebook.com/MotherTuckersAntiques/
Lewisberry Antiques & Craft Co. LLC,717-938-3200,206 Market st. Lewisberry PA 17339,http://facebook.com/LewisberryAntiquesCrafts/
Oil City Warehouse Mall,814-678-2200,30 Pumphouse Rd Oil City PA 16301,http://facebook.com/OilCityWarehouseMall/
Antique Marketplace of Lemoyne,717-761-2865,415 Bosler Ave Lemoyne PA 17043,http://Facebook.com/AntiqueMarketplaceofLemoyne
Riverview Antique n Marketplace,724-274-4874,911 Freeport Rd. Cheswick PA 15024,http://www.facebook.com/RAMtiques
Pine Hills Antique Mall,717-484-6313,3 Adams Dr Reinholds PA 17569,http://facebook.com/PineHillsAntiqueMall/
Conklin's Corner Antique & Gift Barn,814-342-0650,670 Tyrone Pike Philipsburg PA 16866,http://facebook.com/Conklins-Corner-Antique-Gift-Barn-176576379038303/
Moravian House,717-475-5570,122 E Main St Lititz PA 17543,http://facebook.com/pages/category/Antique-Store/Moravian-House-Antiques-105583992831421/
Brandywine View Antiques,610-388-6060,1244 Baltimore Pike Chadds Ford PA 19317,http://facebook.com/brandywineview/
Forest City Marketplace,570-990-5758,900 North Main Street Forest City PA 18421,http://Facebook.com/ForestCityMarketplace
Weil Antique Center,610-791-7910,2200 31st St SW Allentown PA 18103,http://www.facebook.com/WeilAntiqueCenter/
Duncan & Miller Glass Museum & Gift Shop,724-225-9950,100 Ridge Ave Washington PA 15301,http://www.facebook.com/dmmuseum/
