Name,Phone,Address,Facebook
Palmetto Peddlers,843-665-8663,2295 Hoffmeyer Road Florence SC 29501,http://www.facebook.com/pages/Palmetto-Peddlers/147103821994726
Antique Junction Upstate,864-845-1111,18 Piedmont Hwy Piedmont SC 29673,http://www.facebook.com/antiquejunctionupstate
Fleur De Lis,843-383-4438,813 W Bobo Newsom Hwy Hartsville SC 29550,http://www.facebook.com/FleurDeLisCollectibles
The Rock House Antiques,864-299-8981,415 Mauldin Rd Greenville SC 29605,http://www.facebook.com/The-Rock-House-Antiques-1436275596682717/
Rusty Trunk,843-509-0896,8612 Old State Rd Holly Hill SC 29059,http://www.facebook.com/profile.php?id=100070352363131
Little Mountain Antiques and Cafe,803-345-6440,1528 Main St Little Mtn SC 29075,http://www.facebook.com/pages/Little-Mountain-Unlimited/172480442942
Prosperity Auction Company & Antiques,843-845-3409,242 W Columbia Ave Batesburg SC 29006,http://facebook.com/Prosperityauctioncompanyllc
Uncommonly Southern,843-629-0005,1817 Pamplico Hwy Florence SC 29505,http://www.facebook.com/uncommonlysouthern/
French Mercantile,843-494-3229,211 W. Richardson Ave Summerville SC 29483,http://Facebook.com/FrenchMercantilehome
Menagerie Antiques & Collectibles,803-427-6468,1028 Broad St Camden SC 29020,http://facebook.com/Menagerie-Antiques-Collectibles-213080798724668/
Camden Antiques Market,803-432-0818,830 South Broad Street Camden SC 29020,unavailable
High Cotton Antiques,803-222-5045,212 S Main St Clover SC 29710,http://m.facebook.com/HIGHCOTTONANTIQUESCLOVERSC/
Bluebird Antiques,864-212-5983,1305 Shealy Rd Leesville SC 29070,http://facebook.com/1bluebirdantiques
Collectors Antique Mall ,843-524-2769,102 C Sea Island Pkwy Beaufort SC 29907,http://www.facebook.com/pages/Collectors-Antique-Mall/263397147019382
Calhoun Street Gallery,843-837-4434,44 Calhoun Street Old Town Bluffton SC 29910,http://www.facebook.com/CalhounStreetGallery
Sugar Hollow Cabins,803-422-2616,56 Lakeshore Dr. Little Mtn SC 29075,unavailable
Farmhouse Market & Antiques,803-490-9201,1610 W Main St Lexington SC 29072,http://facebook.com/farmhousemarketandantiques
Katie Mae's Beaufort,843-379-5557,1029 Boundary St Beaufort SC 29902,http://Facebook.com/beaufortsckatiemaes
The Vintage Market,864-638-9696,168 Scenic Plaza Dr West Union SC 29696,http://facebook.com/The-Vintage-Market-889077934516941
Duffy's,843-593-1162,719 Bay St Beaufort SC 29902,http://Facebook.com/duffysantiques
Patina Market,843-849-8850,1929 Maybank Hwy Charleston SC 29412,http://www.facebook.com/patinamarketchs
Peacock's Vintage Picks,843-506-3623,3005 Hwy 301 Latta SC 29565,http://www.facebook.com/Peacocks-Vintage-Picks-1422902657984787/
Tweaked,843-651-5560,4491 Highway 17 Business Murrells Inlet SC 29576,http://www.facebook.com/tweakedsc/
Antique Mall Cafe,803-941-7189,1528 Main St Little Mtn SC 29075,unavailable
Carolina Collectables,843-679-0901,1224 S. Irby st  A Florence SC 29505,http://www.facebook.com/Carolina-Collectables-1644343465834743/
Carolina Trading Post, LLC,843-799-1134,4105 S Irby St Florence SC 29505,http://Facebook.com/CarolinaTradingPost
Uptown Shoppers Market,864-223-3222,601 Montague Ave Greenwood SC 29649,http://www.facebook.com/uptownshoppersmarket
Carson's Collectibles and Antiques,803-258-3191,7218 Festival Trail Rd Springfield SC 29146,http://facebook.com/Springfieldshops
The Caroline Collection,803-793-4739,4659 Carolina Highway Denmark SC 29042,http://www.instagram.com/thecarolinecollection/
EveryThingChic~ETC,843-879-2099,126 S Main St Summerville SC 29483,http://www.facebook.com/pages/Everythingchic/788536737897070
Antiques & Artisans Village,843-900-5386,619 Old Trolley Rd Summerville SC 29485,http://www.facebook.com/AntiquesAndArtisansVillage
Singing Hills Antiques,803-441-8805,415 West Ave North Augusta SC 29841,http://www.instagram.com/jenniesshop/
Willow's Antiques,864-518-4282,2718 N Main St Anderson SC 29621,http://Willow's Antiques in Anderson SC
Simply Vintage,843-810-1837,419c E 5th North St Summerville SC 29483,http://www.facebook.com/pages/Simply-Vintage/194671747350712
Vintage Vibes on Main Street,843-879-9529,200 N Main Street Summerville SC 29483,http://www.facebook.com/vintagevibesonmain
Standpipe Antiques,864-940-6179,502 O'Neal St Belton SC 29627,http://facebook.com/standpipeantiquemall
Oak Street Vintage Mall and Gifts LLC,803-618-2461,141 N Oak St Batesburg SC 29006,http://Facebook.com/OakStreetVintageMall
Lexington Antiques & Home Decor,803-490-0222,1812 Augusta Hwy. Suite E Lexington SC 29072,http://facebook.com/lexantiques
Artifacts Greenville,864-569-2313,3209 Old Buncombe Road Greenville SC 29609,http://www.facebook.com/artifactsgreenville/
Barracks Antique Mall,843-441-7442,32 Salkehatchie Rd Yemassee SC 29945,http://facebook.com/profile.php?id=100090569599941
Riverside Antiques & Treasures,803-426-1942,646 E Buena Vista Ave North Augusta SC 29841,http://facebook.com/RiversideAntiquesandTreasures
Inlet Queens,843-299-1806,4905 Highway 17 Murrells Inlet SC 29576,http://www.facebook.com/InletQueens/
Katie Mae's ,843-771-3375,140 W Richardson Ave  Ste A Summerville SC 29483,http://Facebook.com/katiemaesklassyflea
Swansea Market Place and Event Facility Thrift Store,803-917-9565,220 S Monmouth Ave Swansea SC 29160,http://www.facebook.com/profile.php?id=100057622922713
Low Country Treasures,843-712-2309,2701 N Kings Hwy Myrtle Beach SC 29577,http://m.facebook.com/Low-Country-Treasures-Artisans-Antiques-202503571797824/
Terrace Oaks Antiques,843-795-9689,2037 Maybank Hwy Charleston SC 29412,http://facebook.com/TerraceOaks
The Willow Branch Vintage Mall, LLC,803-307-0154,142 N Oak St Batesburg SC 29006,http://Facebook.com/The-Willow-Branch-Vintage-Mall-112516891078544
Finders Keepers Antiques & Collectibles,864-507-3368,127 W Main St Pickens SC 29671,http://www.facebook.com/finderskeepersresale/
Antiques & More Mall,803-644-1060,640 E Pine Log Rd Aiken SC 29803,http://facebook.com/antiquesandmoremall
The Vintage Market of Greenville,864-419-0375,5500 Augusta Rd Greenville SC 29605,http://facebook.com/GreenvilleAntiques20017
Legacy Antiques & Consignments,843-651-0884,3420 South Highway 17 Murrells Inlet SC 29576,http://www.facebook.com/Abbottslegacy/
