Name,Phone,Address,Facebook
Clinton Antique Mall,865-457-3110,317 N Main St Clinton TN 37716,http://facebook.com/Clinton-Antique-Mall-123173514366354
The Shoppe at 350 Market,865-661-8285,350 Market St Clinton TN 37716,http://www.facebook.com/pages/The-Shoppe-at-350-Market/268339763328817
Spring Hill Antique Mall,931-489-0022,1213 School St Spring Hill TN 37174,http://www.facebook.com/pages/biz/antique_store/Spring-Hill-Antique-Mall-127547970680775/
Goodlettsville Antique Mall,615-859-7002,213 N Main St Goodlettsville TN 37072,http://www.facebook.com/GoodlettsvilleAntique
The Shops at Main and McGrew,931-536-1626,100 S Main St Shelbyville TN 37160,http://facebook.com/mainandmcgrew
Simply Vintage Antiques,615-944-4669,13751 Lebanon Rd Mt Juliet TN 37122,http://facebook.com/SimplyVintageAntiques
CC's Antiques,423-821-2007,2939 Cummings Hwy Chattanooga TN 37419,http://facebook.com/CcsAntiquesBabysCoveGifts
Second Chances Antique Mall,931-919-5114,2448 Highway 41a Byp Clarksville TN 37043,http://Facebook.com/secondchancesantiquesandtreasures
Music Valley Antiques & Marketplace,615-557-6560,2416 Music Valley Dr Ste 126 Nashville TN 37214,http://www.facebook.com/MusicValleyAntiques
E-CLEC-TIQUE,865-770-2375,746 West Lamar Alexander Pkwy Maryville TN 37801,http://facebook.com/Toptiquer1
Ole Grapevine Antique Shoppe,931-580-6134,437 E Depot St Shelbyville TN 37160,http://facebook.com/profile.php?id=100054231771673
Apple Bottom's,615-666-1232,404 College St Lafayette TN 37083,http://www.facebook.com/AppleBottomstore
Nolensville Historical Society,615-405-5451,7248 Nolensville Road Nolensville TN 37135,http://facebook.com/NolensvilleHistoricalSocietyTN
GasLamp Antiques & Decorating Mall ,615-297-2224,100 Powell Pl Ste 200 Nashville TN 37204,http://www.facebook.com/gaslampantiquemall
Red Door Antiques & More,423-707-8202,115 E Main Blvd Church Hill TN 37642,http://Facebook.com/Red-Door-Antiques-More-100249484661942
American Farmhouse,931-319-6070,119 Broad St Baxter TN 38544,http://facebook.com/allamericanfarmhouse/
Centerville Marketplace,931-729-4800,100 Church St Centerville TN 37033,http://facebook.com/pagesCenterville-Marketplace110985842280114
Mooney's Market & Emporium,931-924-7400,1265 W Main St Monteagle TN 37356,http://facebook.com/Mooneys-Market-and-Emporium-235544056556597/
The Shoppes on the Square,865-244-0207,612 Grove Street Loudon TN 37774,http://www.facebook.com/theshoppesonthesquare/
Cinnamon Ridge Bed and Breakfast,931-580-7883,799 Whitthorne St Shelbyville TN 37160,http://www.facebook.com/cinnridgebb
Vintage Treasures,931-299-5015,105 N Court Sq Waverly TN 37185,http://www.facebook.com/vintagetreasurestn
The Brass Lantern,931-492-9607,1608 Madison St Shelbyville TN 37160,http://facebook.com/thebrasslanternboutiques
Honey Bee Antique Market,615-624-7239,220 Veterans Pkwy # 1 Murfreesboro TN 37128,http://facebook.com/honeybeeantiquemarket
Cookeville Antique Mall & Auction Gallery,931-510-6438,402 Dubois Rd Cookeville TN 38501,http://www.facebook.com/groups/286838748146314/
Main Street Country Store Antiques,865-207-2538,138B West Main Street/Skywalk Morristown TN 37814,http://facebook.com/COUNTRYSTOREANTIQUES/
