Name,Phone,Address,Facebook
Country Lane Antique Mall,409-755-0140,114 Country Lane Lumberton TX 77657,http://facebook.com/pages/Country-Lane-Antique-Mall/582701295100107/
Orchid House Antiques,214-585-2899,221 S Travis St Sherman TX 75090,http://www.facebook.com/Orchid-House-Antiques-2079504935452933/
Ye Olde City Antique Mall,903-705-1145,324 E Locust St Tyler TX 75702,http://Facebook.com/yeoldecityanitquemall
Antique Mall of Lumberton,409-755-3388,1181 S Main St Lumberton TX 77657,http://www.facebook.com/antiquemalloflumberton
Hagglers Resale-tique,979-775-4244,5957 Jones rd Bryan TX 77807,http://facebook.com/profile.php?id=100061857985014
McDade Antiques & Marketplace,512-304-0826,565 Old Hwy 20 McDade TX 78650,http://facebook.com/profile.php?id=100090509576473
With Willing Hands Antiques,972-938-9515,307 S Rogers St Waxahachie TX 75165,http://facebook.com/Old-Town-Village-Antiques-Uniques-115951205087850/
Round Top Vintage Market and Show,281-731-5132,1235 North Hwy 237 Round Top TX 78954,http://facebook.com/roundtopvintagemarket/
Between Friends - Antiques ,Vintage & Homemade Fudge ,903-569-0322,114 E Broad St Mineola TX 75773,http://facebook.com/Betweenfriendstx
Vintage Mercantile,903-423-1772,306 W Main St Denison TX 75020,http://facebook.com/Vintage-Mercantile-1515694768731680/
Bluebonnet Hill Antiques,940-687-0150,2505 Grant St Wichita Falls TX 76309,http://www.pinterest.com/bluebonnet1222/
Full Circle Village,361-362-9590,1909 N St Marys St Beeville TX 78102,http://www.facebook.com/fullcirclevillage
CCs Junque To Antiques,806-494-3840,711 Broadway St Plainview TX 79072,http://facebook.com/CCs-Junque-to-Antiques-647542532063911/
6th Street Antique Mall & Amarillo's Route 66 Store ,806-374-0459,2715 SW 6th Ave Amarillo TX 79106,http://www.facebook.com/pages/6th-Street-Antique-Mall/144336425584783
Amelia's Attic Antiques,940-665-7883,111 W California St Gainesville TX 76240,http://www.facebook.com/AmeliasAtticGainesville
The Classy Cactus Antique Mall,940-648-2747,100 W 3rd St Justin TX 76247,http://facebook.com/TheClassyCactus
Vintage Rose Market,281-658-2552,124 N Live Oak St Fayetteville TX 78940,http://Facebook.com/VintageRoseMarket
The Antique Station,325-675-6100,703 N 3rd St Abilene TX 79601,http://www.facebook.com/pages/The-Antique-Station/143651239022534
Cole's Antique Show,281-961-5092,3637 Hwy 237 Round Top TX 78954,http://www.facebook.com/colesantiqueshow
Another Time Vintage ,714-615-4936,116 S O Connor Rd Irving TX 75060,http://Facebook.com/anothertimevintage
Duncan Depot Antiques,903-724-0402,106 W Main St Palestine TX 75801,http://www.facebook.com/pages/Duncan-Depot-Antiques/372249532786961
Hidden Talents,254-840-4044,1000 W Mcgregor Dr Mc Gregor TX 76657,http://facebook.com/hiddentalentsantiques
Vintage Market Days - Waxahachie,918-606-2254,2300 US 287 Bypass Waxahachie TX 75167,http://facebook.com/SoCentralTexas.Vintagemarketdays
2nd Street Emporium,254-770-0088,8 S 2nd St Temple TX 76501,http://www.facebook.com/2ndStreetEmporium
Bella's Cottage Antiques,512-237-2463,119 Main St Smithville TX 78957,http://www.facebook.com/pages/Bellas-Cottage-Antiques/220706591456532
The Silk Purse Market,409-781-7938,400 Hwy 105 W Sour Lake TX 77659,http://facebook.com/TheSilkPurseMarket
Texas Silver Mercantile  - Restoration ,713-266-0060,10053 Lazy Oaks St Houston TX 77080,unavailable
Knick Knacks,972-283-9007,215 W Camp Wisdom Rd Ste 8 Duncanville TX 75116,http://facebook.com/knickknacks
Main Street Mall Denison tx,903-463-1230,500 W Main St Denison TX 75020,http://facebook.com/Facebook.com/mainstreetmalldenison
Waxahachie Architectural Salvage,214-463-5511,106 S Monroe St Waxahachie TX 75165,http://www.facebook.com/WaxahachieSalvage/
The Limited Edition Art and Antiques,281-391-1993,5717 2nd St Katy TX 77493,http://www.facebook.com/pages/Limited-Edition-Art-and-Antiques-Katy-Market-Days/162667557119697
Daniel Antique Company,903-424-7948,202 E 1st St Hughes Spgs TX 75656,unavailable
Town Square Antique Mall,903-438-0286,102 College St Sulphur Springs TX 75482,http://www.facebook.com/townsquareantiquemall/
Atelier Antiques,972-923-4462,308 S Rogers St Waxahachie TX 75165,http://www.facebook.com/atelierantiqueswaxahachie
ABC Antiques,254-744-3063,105 S Robinson Dr Robinson TX 76706,http://www.facebook.com/abcantiques/
THE COVE BED AND BREAKFAST,512-590-0202,10110 Long Point Rd Houston TX 77043,http://www.facebook.com/The-Cove-BNB-1188445637832164/
Jean's Antique Mall,512-847-3305,11552 Ranch Road 12 Wimberley TX 78676,http://www.facebook.com/jeansantiquemall
Antiques On Royall,903-489-1087,202 E Royall Malakoff TX 75148,http://Facebook.com/AntiquesOnRoyall
Gladewater Antique Mall,903-845-4440,100 E Commerce Ave Gladewater TX 75647,http://Facebook.com/gladewaterantiquemall
Ranch House Boutique,806-201-3408,7907 West 19th Street Lubbock TX 79407,http://facebook.com/ranchhouseboutique
Eagerly Sought,903-378-3112,402 6th St Honey Grove TX 75446,http://facebook.com/Eagerlysought
Grapevine Antique Market and Grapevine Consignment Market,817-329-2124,1641 W Northwest hwy Grapevine TX 76051,http://facebook.com/facebook/grapevineantiquemarket
