Name,Phone,Address,Facebook
Williamstown Antique Mall,304-375-6315,801 Highland Ave Williamstown WV 26187,http://www.facebook.com/WilliamstownAntiqueMall/
Classy Clutter,304-673-2624,3284 Robert C. Byrd Drive Beckley WV 25801,http://facebook.com/carolyn.mckinney.397
Brown's Antique Mall,304-755-8877,3502 1st Ave Nitro WV 25143,http://www.facebook.com/BrownsAntiqueMall/
Buckhannon Antique Mall,304-472-9605,2743 Clarksburg Rd Buckhannon WV 26201,unavailable
South Charleston Antique Mall,304-744-8975,617 D St S Charleston WV 25303,http://www.facebook.com/South-Charleston-Antique-Mall-113283568683562/
Patina,304-520-4962,1046 Washington St E Lewisburg WV 24901,http://facebook.com/Patina.lewisburgwv
Thistle Patch: Vintage Garden & Antiques,304-730-2843,444 14th St W Huntington WV 25704,http://www.facebook.com/ThistlePatchVintage/
Ohio River Valley Antiques,304-549-4359,214 Washington St Ravenswood WV 26164,http://www.facebook.com/pages/category/Antique-Store/Ohio-River-Valley-Antiques-203460213785168/
The Next Chapter Antiques,304-395-3253,505 1st Ave S Ste A Nitro WV 25143,http://facebook.com/profile.php?id=100086766100556
New River Antique Mall,304-574-4680,100 High Street Fayetteville WV 25840,http://www.facebook.com/New-River-Antique-Mall-584234338268803/
Olde Rustic Antiques,304-472-2017,6431 Clarksburg Rd Buckhannon WV 26201,http://www.facebook.com/olderusticantiques/
Sanford & Wife Antiques,304-482-3502,2807 Murdoch Avenue Parkesburg WV 26101,http://www.facebook.com/SanfordAndWifeAntiques/
Tattered & Worn Antique - Primitives,304-645-3977,1717 Jefferson St N Lewisburg WV 24901,http://www.facebook.com/tatteredandworn/
Village Antique Mall,304-523-7887,610 14th St W Huntington WV 25704,http://facebook.com/villagerenewallantiques
Yesterday's Antiques & Coins,304-868-0128,224 Washington Street Ravenswood WV 26164,http://www.facebook.com/Yesterdays-Antiques-Coins-Collectibles-219527044746697/
The Ugly Duckling Antiques,304-449-4950,301 Federal St Bluefield WV 24701,http://www.facebook.com/The-Ugly-Duckling-824816420906935/
D & K Collectibles,304-574-1250,211 N Court St Fayetteville WV 25840,http://www.facebook.com/dandkcollectibles/
The Nitro Antique Mall,304-755-5002,110 21st St Nitro WV 25143,http://www.facebook.com/nitro.antiquemall
Nitro Wars Museum ,304-759-9815,2003 20th Street Nitro WV 25143,http://Facebook.com/visitnitro
Hickory Tree Antique Mall,304-250-7979,623 S Oakwood Ave Beckley WV 25801,http://www.facebook.com/HickoryTreeAntiqueMall/
Pickers Paradise Antique Mall,304-344-8184,3097 Greenbrier St Charleston WV 25311,http://www.facebook.com/Pickin4you/
