State,Shops,Website
Alabama,111,http://alabamaantiquetrail.com
Alaska,0,http://alaskaantiquetrail.com
Arizona,3,http://arizonaantiquetrail.com
Arkansas,33,http://arkansasantiquetrail.com
California,0,http://californiaantiquetrail.com
Colorado,0,http://coloradoantiquetrail.com
Connecticut,24,http://connecticutantiquetrail.com
Delaware,0,http://delawareantiquetrail.com
Florida,143,http://floridaantiquetrail.com
Georgia,123,http://georgiaantiquetrail.com
Hawaii,0,http://hawaiiantiquetrail.com
Idaho,0,http://idahoantiquetrail.com
Illinois,0,http://illinoisantiquetrail.com
Indiana,56,http://indianaantiquetrail.com
Iowa,0,http://iowaantiquetrail.com
Kansas,27,http://kansasantiquetrail.com
Kentucky,51,http://kentuckyantiquetrail.com
Louisiana,70,http://louisianaantiquetrail.com
Maine,43,http://maineantiquetrail.com
Maryland,0,http://marylandantiquetrail.com
Massachusetts,27,http://massachusettsantiquetrail.com
Michigan,126,http://michiganantiquetrail.com
Minnesota,0,http://minnesotaantiquetrail.com
Mississippi,66,http://mississippiantiquetrail.com
Missouri,3,http://missouriantiquetrail.com
Montana,0,http://montanaantiquetrail.com
Nebraska,0,http://nebraskaantiquetrail.com
Nevada,0,http://nevadaantiquetrail.com
NewHampshire,39,http://newhampshireantiquetrail.com
NewJersey,1,http://newjerseyantiquetrail.com
NewMexico,26,http://newmexicoantiquetrail.com
NewYork,72,http://newyorkantiquetrail.com
NorthCarolina,61,http://northcarolinaantiquetrail.com
NorthDakota,0,http://northdakotaantiquetrail.com
Ohio,32,http://ohioantiquetrail.com
Oklahoma,34,http://oklahomaantiquetrail.com
Oregon,0,http://oregonantiquetrail.com
Pennsylvania,67,http://pennsylvaniaantiquetrail.com
RhodeIsland,3,http://rhodeislandantiquetrail.com
SouthCarolina,53,http://southcarolinaantiquetrail.com
SouthDakota,0,http://southdakotaantiquetrail.com
Tennessee,125,http://tennesseeantiquetrail.com
Texas,112,http://texasantiquetrail.com
Utah,0,http://utahantiquetrail.com
Vermont,9,http://vermontantiquetrail.com
Virginia,47,http://virginiaantiquetrail.com
Washington,0,http://washingtonantiquetrail.com
WestVirginia,21,http://westvirginiaantiquetrail.com
Wisconsin,1,http://wisconsinantiquetrail.com
Wyoming,0,http://wyomingantiquetrail.com
