Name,Phone,Address,Facebook,State
Rivenbark & Roper Antiques ,256-564-9800,313 Jefferson St. N Huntsville AL 35801,http://www.facebook.com/RivenbarkandRoperAntiques,Alabama
Gadsden Variety Antique Mall and Cafe,256-547-8871,422 Broad St. Gadsden AL 35901,http://facebook.com/GadsdenVariety,Alabama
Antiques at the Loop,251-476-0309,28 S Florida St Mobile AL 36606,http://facebook.com/AntiquesAtTheLoop,Alabama
Winfield Antique Mall,205-487-8100,1066 US Highway 43 Winfield AL 35594,http://Facebook.com/winfieldantiquemall.ala,Alabama
Hoover Antique Gallery AL,205-822-9500,3411 Old Columbiana Rd Hoover AL 35226,http://www.facebook.com/HooverAntiqueGallery/,Alabama
Burlap & Silk,334-770-0604,66 W Court Sq Troy AL 36081,http://facebook.com/profile.php?id=100076146421199,Alabama
Timeless Antiques and Flea Mall,334-768-8463,2918 20th Ave Valley AL 36854,http://www.facebook.com/Timeless-Antiques-and-Flea-Mall-109585048196461,Alabama
Black's Old and New Mall,256-931-5119,124 North Brindlee Parkway Arab AL 35016,http://www.facebook.com/blacksoldandnew,Alabama
Apple Barrel Antiques & Gifts,256-835-1937,1906 US Hwy 78 E Oxford AL 36203,http://www.facebook.com/applebarrelantiques.oxford,Alabama
Railroad Station Antique Mall,256-533-6550,315 N Jefferson St Huntsville AL 35801,http://facebook.com/RailroadHSV,Alabama
Finders Keepers Cullman,256-727-5341,201 1st Avenue SW Cullman AL 35055,http://facebook.com/Finders.cullman/,Alabama
Scottsboro Antiques,256-574-3921,816 W Willow St Scottsboro AL 35768,http://facebook.com/scottsboroalantiques,Alabama
Red Beard's Treasure Chest,251-989-0555,105 Highway 59 S Summerdale AL 36580,http://www.facebook.com/redbeardsal/,Alabama
The Rustic Willow,256-497-2551,29930 Ardmore Ave Ardmore AL 35739,http://facebook.com/rusticwillows,Alabama
Main Street Vintage Market,334-568-9744,2910 Main Street Milbrook  AL 36054,http://www.facebook.com/Main-Street-Vintage-Market-103467905323505,Alabama
Bella Vintage Antique Mall,256-754-5555,703 Highway 31 NW Hartselle AL 35640,http://facebook.com/Bella-Vintage-Antiques-254460321304436/,Alabama
Chelsea Antiques,205-678-2151,14569 Hwy 280 E Chelsea AL 35043,http://www.facebook.com/pages/Chelsea-Antique-Mall/563691887025646,Alabama
Serendipity Antiques & Interiors,256-232-9060,22335 US Highway 72 East Ste B Athens AL 35613,http://facebook.com/SerendipityAntiquesandInteriors,Alabama
Smith Lake Flea Market and Vintage Mall,205-285-0482,6168 County Hwy 41  35541 Arley AL 35541,http://www.facebook.com/smithlakefleamarket,Alabama
Stephen's Unique Antiques,256-247-1133,1690 Lee Street Rogersville AL 35652,http://facebook.com/pagesStephens-Unique-Antiques565775333489475,Alabama
